Climate,Old_Block,Block,Treatment,Species,sci_name,,,# leaves,# individuals,weight (g),Area,LA,Image #
Arid,2,B,Total,Popcorn Flower,Plagiobothrys nothofulvus,Plagiobothrys_nothofulvus,Arid.2.Total.Plagiobothrys_nothofulvus,19,10,0.6,3830.5556,201.6081895,
Arid,2,B,Total,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Arid.2.Total.Bromus_tectorum ,20,14,0.66,3303.7914,165.18957,
Arid,2,B,Total,Foxtail,Hordeum murinum,Hordeum_murinum,Arid.2.Total.Hordeum_murinum,19,9,0.69,6758.2548,355.6976211,
Arid,2,B,Total,Festuca myuros,Festuca myuros,Festuca_myuros,Arid.2.Total.Festuca_myuros,20,14,0.23,#N/A,#N/A,
Arid,2,B,Total,Clover,Trifolium microcephalum,trifolium_microcephalum,Arid.2.Total.trifolium_microcephalum,20,10,0.41,3819.943,190.99715,
Arid,2,B,Total,Bestraw,Galium aparine,Galium_aparine,Arid.2.Total.Galium_aparine,18,11,0.22,1145.8515,63.65841667,
Arid,2,B,Total,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Arid.2.Total.Bromus_diandrus,20,13,0.95,#N/A,#N/A,
Arid,2,B,Partial,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Arid.2.Partial.Bromus_tectorum ,19,16,0.38,2986.3686,157.1772947,
Arid,2,B,Partial,Foxtail,Hordeum murinum,Hordeum_murinum,Arid.2.Partial.Hordeum_murinum,20,14,0.45,4373.5134,218.67567,
Arid,2,B,Partial,Festuca myuros,Festuca myuros,Festuca_myuros,Arid.2.Partial.Festuca_myuros,21,13,0.24,1026.1926,48.86631429,
Arid,2,B,Open,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Arid.2.Open.Bromus_tectorum ,19,12,0.33,2762.5941,145.3996895,
Arid,2,B,Partial,J,Bromus hordeaceus,Bromus_hordeaceus,Arid.2.Partial.Bromus_hordeaceus,21,12,0.49,3890.969,185.2842381,
Arid,2,B,Partial,Popcorn Flower,Plagiobothrys nothofulvus,Plagiobothrys_nothofulvus,Arid.2.Partial.Plagiobothrys_nothofulvus,21,11,1.77,7676.2711,365.536719,
Arid,2,B,Partial,Tridilea,Triteleia ixioides,Triteleia_ixioides,Arid.2.Partial.Triteleia_ixioides,12,12,9.81,#N/A,#N/A,
Arid,2,B,Partial,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Arid.2.Partial.Bromus_diandrus,20,13,0.87,#N/A,#N/A,
Arid,2,B,Partial,clover,trifolium microcephalum,trifolium_microcephalum,Arid.2.Partial.trifolium_microcephalum,18,10,0.38,3228.3238,179.3513222,
Arid,2,B,Partial,bedstraw,Galium aparine,Galium_aparine,Arid.2.Partial.Galium_aparine,18,9,0.18,#N/A,#N/A,
Arid,2,B,Open,Foxtail,Hordeum murinum,Hordeum_murinum,Arid.2.Open.Hordeum_murinum,20,13,0.79,6045.5991,302.279955,
Arid,2,B,Open,Festuca myuros,Festuca myuros,Festuca_myuros,Arid.2.Open.Festuca_myuros,20,11,0.23,992.8519,49.642595,
Arid,2,B,Open,Tridilea,Triteleia ixioides,Triteleia_ixioides,Arid.2.Open.Triteleia_ixioides,11,11,9.57,9164.9404,833.1764,
Arid,2,B,Open,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Arid.2.Open.Bromus_hordeaceus,14,15,0.4,3192.3972,228.0283714,
Arid,2,B,Open,Popcorn flower,Plagiobothrys nothofulvus,Plagiobothrys_nothofulvus,Arid.2.Open.Plagiobothrys_nothofulvus,18,9,0.35,2134.6391,118.5910611,
Arid,2,B,Open,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Arid.2.Open.Bromus_diandrus,19,12,0.92,7252.674,381.7196842,
Arid,2,B,Open,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Arid.2.Open.Erodium_cicutarium,20,10,1.32,5751.8829,287.594145,
Arid,2,B,Open,Triflolium,trifolium microcephalum,Trifolium_microcephalum,Arid.2.Open.Trifolium_microcephalum,17,10,0.23,2132.1389,125.4199353,
Arid,2,B,Partial,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Arid.2.Partial.Erodium_cicutarium,20,10,1.07,5510.2436,275.51218,
Arid,2,B,Total,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Arid.2.Total.Erodium_cicutarium,20,10,1.71,5389.108,269.4554,
Arid,2,B,Open,Bestraw,Galium aparine,Galium_aparine,Arid.2.Open.Galium_aparine,20,10,0.21,1069.6707,53.483535,
Arid,3,C,Total,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Arid.3.Total.Bromus_hordeaceus,17,10,0.57,4580.6889,269.4522882,
Arid,3,C,Total,Foxtail,Hordeum murinum,Hordeum_murinum,Arid.3.Total.Hordeum_murinum,20,11,1.04,8994.1773,449.708865,
Arid,3,C,Total,Bromus diandrus?,Bromus diandrus,Bromus_diandrus,Arid.3. Total.Bromus_diandrus,20,12,1.11,#N/A,#N/A,
Arid,3,C,Total,trifolium,trifolium microcephalum,Trifolium_microcephalum,Arid.3.Total.Trifolium_microcephalum,20,10,0.34,3160.9859,158.049295,
Arid,3,C,Total,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Arid.3.Total.Bromus_hordeaceus,17,13,0.36,4580.6889,269.4522882,
Arid,3,C,Partial,Festuca myuros,Festuca myuros,Festuca_myuros,Arid.3.Partial.Festuca_myuros,20,15,0.18,708.0529,35.402645,
Arid,3,C,Partial,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Arid.3.Partial.Bromus_tectorum ,14,12,0.31,2899.2987,207.0927643,
Arid,3,C,Partial,Foxtail,Hordeum murinum,Hordeum_murinum,Arid.3.Partial.Hordeum_murinum,13,10,0.5,4310.3934,331.5687231,
Arid,3,C,Partial,Tridilea,Triteleia ixioides,Triteleia_ixioides,Arid.3.Partial.Triteleia_ixioides,11,11,10.41,10574.7685,961.3425909,
Arid,3,C,Partial,Trifolium,trifolium microcephalum,Trifolium_microcephalum,Arid.3.Partial.Trifolium_microcephalum,17,9,0.39,#N/A,#N/A,
Arid,3,C,Partial,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Arid.3.Partial.Bromus_diandrus,20,12,0.92,7004.1548,350.20774,
Arid,3,C,Partial,Popcorn Flower,Plagiobothrys nothofulvus,Plagiobothrys_nothofulvus,Arid.3.Partial.Plagiobothrys_nothofulvus,8,8,0.19,1301.8628,162.73285,
Arid,3,C,Total,Festuca myuros,Festuca myuros,Festuca_myuros,Arid.3.Total.Festuca_myuros,20,12,0.41,2358.0941,117.904705,
Arid,3,C,Total,Popcorn Flower,Plagiobothrys nothofulvus,Plagiobothrys_nothofulvus,Arid.3.Total.Plagiobothrys_nothofulvus,20,10,0.57,2855.5483,142.777415,
Arid,3,C,Total,Tridilea,Triteleia ixioides,Triteleia_ixioides,Arid.3.Total.Triteleia_ixioides,10,10,10.27,10598.2894,1059.82894,
Arid,3,C,Open,cheatgrass,Bromus tectorum ,Bromus_tectorum ,Arid.3.Open.Bromus_tectorum ,20,13,0.51,4009.7304,200.48652,
Arid,3,C,Open,Tridilea,Triteleia ixioides,Triteleia_ixioides,Arid.3.Open.Triteleia_ixioides,11,11,0.44,9645.5418,876.8674364,
Arid,3,C,Open,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Arid.3.Open.Bromus_diandrus,20,10,1.48,10373.513,518.67565,
Arid,3,C,Open,Triflolium,trifolium microcephalum,Trifolium_microcephalum,Arid.3.Open.Trifolium_microcephalum,20,11,0.24,1989.1099,99.455495,
Arid,3,C,Open,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Arid.3.Open.Bromus_hordeaceus,20,14,0.42,3384.6391,169.231955,
Arid,3,C,Open,Hordium murium,Hordeum murinum,Hordeum_murinum,Arid.3.Open.Hordeum_murinum,20,16,1.35,3150.7214,157.53607,
Arid,3,C,Open,Popcorn Flower,Plagiobothrys nothofulvus,Plagiobothrys_nothofulvus,Arid.3.Open.Plagiobothrys_nothofulvus,20,10,0.5,2411.8124,120.59062,
Arid,3,C,Total,Bestraw,Galium aparine,Galium_aparine,Arid.3.Total.Galium_aparine,20,10,0.14,1057.2676,52.86338,
Arid,3,C,Open,Festuca myuros,Festuca myuros,Festuca_myuros,Arid.3.Open.Festuca_myuros,20,14,0.32,1221.8096,61.09048,
Arid,3,C,Open,Bedstraw,Galium aparine,Galium_aparine,Arid.3.Open.Galium_aparine,20,10,0.22,1364.3355,68.216775,
Arid,3,C,Partial,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Arid.3.Partial.Erodium_cicutarium,20,10,1.17,5735.0281,286.751405,
Arid,3,C,Open,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Arid.3.Open.Erodium_cicutarium,20,10,1.41,6863.6898,343.18449,
Arid,3,C,Total,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Arid.3.Total.Erodium_cicutarium,20,10,1.51,6054.8927,302.744635,
Intermediate,1,D,Partial,Gooseberry,Ribes californicum var. hesperium,Ribes,Intermediate.1.Partial.Ribes,8,4,1.49,6789.5801,848.6975125,
Intermediate,1,D,Open,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Intermediate.1.Open.Bromus_hordeaceus,11,8,0.14,1148.0354,104.3668545,
Intermediate,1,D,Open,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Intermediate.1.Open.Bromus_diandrus,14,9,0.43,3341.2152,238.6582286,
Intermediate,1,D,Open,Bromus tectorum,Bromus tectorum ,Bromus_tectorum ,Intermediate.1.Open.Bromus_tectorum ,20,25,0.28,2287.6651,114.383255,
Intermediate,1,D,Open,Festuca myuros,Festuca myuros,Festuca_myuros,Intermediate.1.Open.Festuca_myuros,16,12,0.6,285.6393,17.85245625,
Intermediate,1,D,Open,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Intermediate.1.Open.Erodium_cicutarium,20,10,1.31,5245.6194,262.28097,
Intermediate,1,D,Open,Rabbit Brush,Ericameria nauseosa,Ericameria_nauseosa,Intermediate.1.Open.Ericameria_nauseosa,20,10,0.26,638.268,31.9134,
Intermediate,1,D,Open,Popcorn Flower,Plagiobothrys nothofulvus,Plagiobothrys_nothofulvus,Intermediate.1.Open.Plagiobothrys_nothofulvus,15,7,0.35,1540.8693,102.72462,
Intermediate,1,D,Total,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Intermediate.1.Full.Bromus_diandrus,15,9?,0.96,6683.1745,445.5449667,
Intermediate,1,D,Total,cheatgrass,Bromus tectorum ,Bromus_tectorum ,Intermediate.1.Full.Bromus_tectorum ,13,?,0.46,3431.0906,263.9300462,
Intermediate,1,D,Total,Rabbit Brush,Ericameria nauseosa,Ericameria_nauseosa,Intermediate.1.Full.Ericameria_nauseosa,20,10,0.28,716.7094,35.83547,
Intermediate,1,D,Total,Foxtail,Hordeum murinum,Hordeum_murinum,Intermediate.1.Full.Hordeum_murinum,14,9,0.38,3036.6623,216.90445,
Intermediate,1,D,Total,Bromus tectorum,Bromus tectorum ,Bromus_tectorum ,Intermediate.1.Full.Bromus_tectorum ,17,13,0.4,3431.0906,201.8288588,
Intermediate,1,D,Total,Festuca myuros,Festuca myuros,Festuca_myuros,Intermediate.1.Full.Festuca_myuros,12,6,0.065,#N/A,#N/A,
Intermediate,1,D,Total,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Intermediate.1.Full.Erodium_cicutarium,20,10,1.35,#N/A,#N/A,
Intermediate,1,D,Total,Popcorn Flower,Plagiobothrys nothofulvus,Plagiobothrys_nothofulvus,Intermediate.1.Full.Plagiobothrys_nothofulvus,18,9,0.53,2232.7167,124.0398167,
Intermediate,1,D,Partial,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Intermediate.1.Partial.Bromus_hordeaceus,14,10,0.23,1755.5541,125.3967214,
Intermediate,1,D,Partial,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Intermediate.1.Partial.Bromus_diandrus,21,?,1.06,7843.389,373.4947143,
Intermediate,1,D,Partial,festuca myuros,Festuca myuros,Festuca_myuros,Intermediate.1.Partial.Festuca_myuros,11,,0.06,282.8686,25.71532727,
Intermediate,1,D,Partial,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Intermediate.1.Partial.Bromus_diandrus,19,,0.43,7843.389,412.8099474,
Intermediate,1,D,Partial,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Intermediate.1.Partial.Erodium_cicutarium,20,10,1.18,4898.025,244.90125,
Intermediate,1,D,Partial,Rabbit Brush,Ericameria nauseosa,Ericameria_nauseosa,Intermediate.1.Partial.Ericameria_nauseosa,21,10,0.38,841.9873,40.09463333,
Intermediate,1,D,Partial,Bedstraw,Galium aparine,Galium_aparine,Intermediate.1.Partial.Galium_aparine,18,10,0.68,3855.8763,214.21535,
Intermediate,1,D,Partial,Popcorn Flower,Plagiobothrys nothofulvus,Plagiobothrys_nothofulvus,Intermediate.1.Partial.Plagiobothrys_nothofulvus,20,10,0.75,2902.2907,145.114535,
Intermediate,1,D,Total,Bedstraw,Galium aparine,Galium_aparine,Intermediate.1.full.Galium_aparine,12,6,0.75,3471.5516,289.2959667,
Intermediate,2,E,Total,Festuca myuros,Festuca myuros,Festuca_myuros,Intermediate.2.Full.Festuca_myuros,17,11,0.05,227.374,13.37494118,
Intermediate,2,E,Total,Rabbit Brush,Ericameria nauseosa,Ericameria_nauseosa,Intermediate.2.Full.Ericameria_nauseosa,20,10,0.29,#N/A,#N/A,
Intermediate,2,E,Total,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Intermediate.2.Full.Erodium_cicutarium,20,10,1.87,7580.5942,379.02971,
Intermediate,2,E,Total,Bedstraw,Galium aparine,Galium_aparine,Intermediate.2.Full.Galium_aparine,20,10,0.68,3291.5495,164.577475,
Intermediate,2,E,Total,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Intermediate.2.Full.Bromus_hordeaceus,15,11,0.21,1867.4239,124.4949267,
Intermediate,2,E,Total,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Intermediate.2.Full.Bromus_diandrus,20,10,0.99,5064.2914,253.21457,
Intermediate,2,E,Total,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Intermediate.2.Full.Bromus_tectorum ,20,10,0.5,#N/A,#N/A,
Intermediate,2,E,Open,Gooseberry,Ribes californicum var. hesperium,Ribes,Intermediate.2.Control.Ribes,20,10,1.67,5999.5958,299.97979,
Intermediate,2,E,Partial,Bromus tectorum,Bromus tectorum ,Bromus_tectorum ,Intermediate.2.Partial.Bromus_tectorum ,20,14,0.52,#N/A,#N/A,
Intermediate,2,E,Partial,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Intermediate.2.Partial.Bromus_hordeaceus,10,7,0.21,#N/A,#N/A,
Intermediate,2,E,Partial,Rabbit Brush,Ericameria nauseosa,Ericameria_nauseosa,Intermediate.2.Partial.Ericameria_nauseosa,20,10,0.27,687.441,34.37205,
Intermediate,2,E,Partial,bromus dian,Bromus diandrus,Bromus_diandrus,Intermediate.2.Partial.Bromus_diandrus,14,9,0.94,6958.1661,497.0118643,
Intermediate,2,E,Partial,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Intermediate.2.Partial.Erodium_cicutarium,20,11,1.15,4963.3936,248.16968,
Intermediate,2,E,Partial,Foxtail,Hordeum murinum,Hordeum_murinum,Intermediate.2.Partial.Hordeum_murinum,11,7?,0.27,2633.2501,239.3863727,
Intermediate,2,E,Partial,Festuca myuros,Festuca myuros,Festuca_myuros,Intermediate.2.Partial.Festuca_myuros,13,7,0.09,524.2476,40.32673846,
Intermediate,2,E,Partial,bedstraw,Galium aparine,Galium_aparine,Intermediate.2.Partial.Galium_aparine,21,11,0.68,3279.3889,156.1613762,
Intermediate,2,E,Open,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Intermediate.2.Open.Bromus_diandrus,13,9,0.7,5197.622,399.8170769,
Intermediate,2,E,Open,Foxtail,Hordeum murinum,Hordeum_murinum,Intermediate.2.Open.Hordeum_murinum,14,10,0.28,2395.1534,171.0823857,
Intermediate,2,E,Open,Festuca myuros,Festuca myuros,Festuca_myuros,Intermediate.2.Open.Festuca_myuros,11,8,0.04,291.9931,26.54482727,
Intermediate,2,E,Open,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Intermediate.2.Open.Erodium_cicutarium,17,9,1.14,4102.5777,241.3281,
Intermediate,2,E,Open,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Intermediate.2.Open.Bromus_diandrus,14,10,0.18,5197.622,371.2587143,
Intermediate,2,E,Open,Bromus tectorum,Bromus tectorum ,Bromus_tectorum ,Intermediate.2.Open.Bromus_tectorum ,20,13,0.28,2638.7482,131.93741,
Intermediate,2,E,Open,Rabbit Brush,Ericameria nauseosa,Ericameria_nauseosa,Intermediate.2.Open.Ericameria_nauseosa,20,10,0.27,563.9033,28.195165,
Intermediate,2,E,Open,Popcorn Flower,Plagiobothrys nothofulvus,Plagiobothrys_nothofulvus,Intermediate.2.Open.Plagiobothrys_nothofulvus,17,10,0.55,2371.6046,139.5061529,
Intermediate,2,E,open,Bedstraw,Galium aparine,Galium_aparine,Intermediate.2.open.Galium_aparine,20,11,0.66,3952.2862,197.61431,
Intermediate,3,F,Partial,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Intermediate.3.Partial.Erodium_cicutarium,20,10,0.83,3649.7116,182.48558,
Intermediate,3,F,Partial,Rabbit Brush,Ericameria nauseosa,Ericameria_nauseosa,Intermediate.3.Partial.Ericameria_nauseosa,20,10,0.31,588.5437,29.427185,
Intermediate,3,F,Partial,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Intermediate.3.Partial.Bromus_hordeaceus,20,10,0.3,2688.6025,134.430125,
Intermediate,3,F,Partial,Bedstraw,Galium aparine,Galium_aparine,Intermediate.3.Partial.Galium_aparine,15,8,0.92,#N/A,#N/A,
Intermediate,3,F,Partial,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Intermediate.3.Partial.Bromus_diandrus,20,10,0.56,4203.772,210.1886,
Intermediate,3,F,Partial,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Intermediate.3.Partial.Bromus_tectorum ,14,7,0.24,2597.8789,185.5627786,
Intermediate,3,F,Partial,Tridilea,Triteleia ixioides,Triteleia_ixioides,Intermediate.3.Partial.Triteleia_ixioides,16,16,15.92,8813.2295,550.8268438,
Intermediate,3,F,Open,bromus diandrus,Bromus diandrus,Bromus_diandrus,Intermediate.3.Open.Bromus_diandrus,15,8,0.49,3764.5279,250.9685267,
Intermediate,3,F,Open,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Intermediate.3.Open.Bromus_hordeaceus,13,10,0.23,1765.8712,135.8362462,
Intermediate,3,F,Open,Foxtail,Hordeum murinum,Hordeum_murinum,Intermediate.3.Open.Hordeum_murinum,5,5,0.05,740.3717,148.07434,
Intermediate,3,F,Open,Festuca myuros,Festuca myuros,Festuca_myuros,Intermediate.3.Open.Festuca_myuros,17,11,0.05,290.161,17.06829412,
Intermediate,3,F,Open,Bromus tectorum,Bromus tectorum ,Bromus_tectorum ,Intermediate.3.Open.Bromus_tectorum ,19,14,0.48,4406.5866,231.9256105,
Intermediate,3,F,Open,Rabbit Brush,Ericameria nauseosa,Ericameria_nauseosa,Intermediate.3.Open.Ericameria_nauseosa,20,10,0.45,922.8192,46.14096,
Intermediate,3,F,Open,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Intermediate.3.Open.Erodium_cicutarium,20,10,0.88,3876.232,193.8116,
Intermediate,3,F,Total,Bromus tectorum,Bromus tectorum ,Bromus_tectorum ,Intermediate.3.Full.Bromus_tectorum ,17,10,0.41,#N/A,#N/A,
Intermediate,3,F,Total,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Intermediate.3.Full.Bromus_diandrus,20,12,1.32,4123.7202,206.18601,
Intermediate,3,F,Total,Festuca myuros,Festuca myuros,Festuca_myuros,Intermediate.3.Full.Festuca_myuros,21,11,0.13,595.7083,28.3670619,
Intermediate,3,F,Total,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Intermediate.3.Full.Bromus_hordeaceus,20,14,0.36,#N/A,#N/A,
Intermediate,3,F,Total,Popcorn flower,Plagiobothrys nothofulvus,Plagiobothrys_nothofulvus,Intermediate.3.Full.Plagiobothrys_nothofulvus,6,3,0.34,1568.2481,261.3746833,
Intermediate,3,F,Total,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Intermediate.3.Full.Erodium_cicutarium,21,11,1.57,6356.1043,302.6716333,
Intermediate,3,F,Total,Bedstraw,Galium aparine,Galium_aparine,Intermediate.3.full.Galium_aparine,20,11,0.98,#N/A,#N/A,
Intermediate,3,F,Total,rabbit Brush,Ericameria nauseosa,Ericameria_nauseosa,Intermediate.3.full.Ericameria_nauseosa,20,10,0.43,668.3995,33.419975,
Intermediate,3,F,open,Bedstraw,Galium aparine,Galium_aparine,Intermediate.3.open.Galium_aparine,20,10,0.63,3356.5285,167.826425,
Mesic,1,G,Open,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Mesic.1.Open.Bromus_hordeaceus,20,11,0.38,3217.8433,160.892165,
Mesic,1,G,Open,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Mesic.1.Open.Bromus_diandrus,10,5,0.54,4465.6392,446.56392,
Mesic,1,G,Open,Foxtail,Hordeum murinum,Hordeum_murinum,Mesic.1.Open.Hordeum_murinum,20,13,0.24,2324.184,116.2092,
Mesic,1,G,Open,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Mesic.1.Open.Bromus_tectorum ,20,14,0.43,4312.8896,215.64448,
Mesic,1,G,Partial,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Mesic.1.Partial.Bromus_tectorum ,10,9,0.1,1241.2128,124.12128,
Mesic,1,G,Partial,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Mesic.1.Partial.Bromus_diandrus,3,2,0.08,718.0551,239.3517,
Mesic,1,G,Partial,Snowberry,Symphoricarpos_mollis,Symphoricarpos_mollis,Mesic.1.Partial.Symphoricarpos_mollis,20,10,0.92,5189.4712,259.47356,
