Index,climate,block,treatment,species,num_leaves,num_indivs,weight_g,notes
45,Arid,1,Open,Bromus hordeaceus,20,12,0.65,
46,Arid,1,Open,Popcorn Flower,20,10,0.2,
47,Arid,1,Open,Foxtail,20,12,0.9,
48,Arid,1,Open,Bromus diandrus,20,10,0.97,
49,Arid,1,Open,Bedstraw,20,10,0.35,Arid-1-Open-Bedstraw duplicate; probably correct
18,Arid,2,Partial,clover,18,10,0.38,
51,Arid,1,Open,Cheatgrass,20,12,1.11,Arid-1-Open-Cheatgrass duplicate; correct
52,Arid,1,Open,Tridilea,11,11,7.37,
53,Arid,3,Total,Cheatgrass,20,17,0.6,Arid-1-Open-Cheatgrass duplicate; scan says Arid-3-Total
54,Arid,3,Total,Bromus hordeaceus,17,10,0.57,Arid-3-Total-BroHor duplicate
55,Arid,3,Total,Foxtail,20,11,1.04,
56,Arid,3, Total,Bromus diandrus,20,12,1.11,
7,Arid,2,Total,Clover,20,10,0.41,
58,Arid,3,Partial,Bromus hordeaceus,17,13,0.36,Arid-3-Total-BroHor duplicate; scan says Partial treatment
59,Arid,3,Partial,Festuca myuros,20,15,0.18,
60,Arid,3,Partial,Cheatgrass,14,12,0.31,
61,Arid,3,Partial,Foxtail,13,10,0.5,
62,Arid,3,Partial,Tridilea,11,11,10.41,
72,Arid,3,Open,Triflolium,20,11,0.24,
64,Arid,3,Partial,Bromus diandrus,20,12,0.92,
65,Arid,3,Partial,Popcorn Flower,8,8,0.19,
66,Arid,3,Total,Festuca myuros,20,12,0.41,
67,Arid,3,Total,Popcorn Flower,20,10,0.57,
68,Arid,3,Total,Tridilea,10,10,10.27,
69,Arid,3,Open,cheatgrass,20,13,0.51,
70,Arid,3,Open,Tridilea,11,11,0.44,
71,Arid,3,Open,Bromus diandrus,20,10,1.48,
63,Arid,3,Partial,Trifolium,17,9,0.39,
73,Arid,3,Open,Bromus hordeaceus,20,14,0.42,
74,Arid,3,Open,Hordium murium,20,16,1.35,
75,Arid,3,Open,Popcorn Flower,20,10,0.5,
76,Arid,3,Total,Bestraw,20,10,0.14,
77,Arid,3,Open,Festuca myuros,20,14,0.32,
78,Arid,3,Open,Bedstraw,20,10,0.22,
79,Arid,3,Partial,Erodium cicutarium,20,10,1.17,
80,Arid,3,Open,Erodium cicutarium,20,10,1.41,
81,Arid,3,Total,Erodium cicutarium,20,10,1.51,
82,Arid,1,Partial,Erodium cicutarium,20,10,1.39,
83,Arid,2,Open,Erodium cicutarium,20,10,1.32,
57,Arid,3,Total,trifolium,20,10,0.34,
85,Arid,1,Total,Erodium cicutarium,20,10,0.89,
86,Arid,2,Partial,Erodium cicutarium,20,10,1.07,
87,Arid,2,Total,Erodium cicutarium,20,10,1.71,
88,Arid,2,Open,Bestraw,20,10,0.21,
89,Arid,1,Open,Bedstraw,20,10,0.26,Arid-1-Open-Bedstraw duplicate; probably incorrect
90,Intermediate,1,Partial,Gooseberry,8,4,1.49,
91,Intermediate,3,Partial,Erodium cicutarium,20,10,0.83,
92,Intermediate,3,Partial,Rabbit Brush,20,10,0.31,
93,Intermediate,3,Partial,Bromus hordeaceus,20,10,0.3,
94,Intermediate,3,Partial,Bedstraw,15,8,0.92,
95,Intermediate,3,Partial,Bromus diandrus,20,10,0.56,
146,Intermediate,1,Full,Bromus tectorum,17,13,0.4,
97,Intermediate,3,Partial,Tridilea,16,16,15.92,
98,Intermediate,2,Full,Festuca myuros,17,11,0.05,
99,Intermediate,2,Full,Rabbit Brush,20,10,0.29,
100,Intermediate,2,Full,Erodium cicutarium,20,10,1.87,
101,Intermediate,2,Full,Bedstraw,20,10,0.68,
102,Intermediate,2,Full,Bromus hordeaceus,15,11,0.21,
103,Intermediate,2,Full,Bromus diandrus,20,10,0.99,
129,Intermediate,1,Open,Bromus tectorum,20,25,0.28,
105,Intermediate,2,Control,Gooseberry,20,10,1.67,
104,Intermediate,2,Full,Cheatgrass,20,10,0.5,I don't think I every took this scan
107,Intermediate,2,Partial,Bromus hordeaceus,10,7,0.21,"scan says control, weight datasheet says Partial"
108,Intermediate,2,Partial,Rabbit Brush,20,10,0.27,
109,Intermediate,2,Partial,bromus dian,14,9,0.94,
110,Intermediate,2,Partial,Erodium cicutarium,20,11,1.15,
111,Intermediate,2,Partial,Foxtail,11,7?,0.27,
112,Intermediate,2,Partial,Festuca myuros,13,7,0.09,
113,Intermediate,2,Partial,bedstraw,21,11,0.68,
114,Intermediate,3,Open,bromus diandrus,15,8,0.49,
115,Intermediate,3,Open,Bromus hordeaceus,13,10,0.23,
116,Intermediate,3,Open,Foxtail,5,5,0.05,
117,Intermediate,3,Open,Festuca myuros,17,11,0.05,
139,Intermediate,2,Open,Bromus tectorum,20,13,0.28,
119,Intermediate,3,Open,Rabbit Brush,20,10,0.45,
120,Intermediate,3,Open,Erodium cicutarium,20,10,0.88,
106,Intermediate,2,Partial,Bromus tectorum,20,14,0.52,"scan says control, weight datasheet says Partial"
122,Intermediate,3,Full,Bromus diandrus,20,12,1.32,
123,Intermediate,3,Full,Festuca myuros,21,11,0.13,
124,Intermediate,3,Full,Bromus hordeaceus,20,14,0.36,
125,Intermediate,3,Full,Popcorn flower,6,3,0.34,
126,Intermediate,3,Full,Erodium cicutarium,21,11,1.57,
127,Intermediate,1,Open,Bromus hordeaceus,11,8,0.14,
128,Intermediate,1,Open,Bromus diandrus,14,9,0.43,
96,Intermediate,3,Partial,Cheatgrass,14,7,0.24,
130,Intermediate,1,Open,Festuca myuros,16,12,0.6,
131,Intermediate,1,Open,Erodium cicutarium,20,10,1.31,
132,Intermediate,1,Open,Rabbit Brush,20,10,0.26,
133,Intermediate,1,Open,Popcorn Flower,15,7,0.35,
134,Intermediate,2,Open,Bromus diandrus,13,9,0.7,Int-2-Open-brodia dupicate; accurate
135,Intermediate,2,Open,Foxtail,14,10,0.28,
136,Intermediate,2,Open,Festuca myuros,11,8,0.04,
137,Intermediate,2,Open,Erodium cicutarium,17,9,1.14,
138,Intermediate,2,Open,Bromus hordeaceous,14,10,0.18,Int-2-Open-brodia dupicate; scan data sheet says it is bromus hordeaceous
121,Intermediate,3,Full,Bromus tectorum,17,10,0.41,
140,Intermediate,2,Open,Rabbit Brush,20,10,0.27,
141,Intermediate,2,Open,Popcorn Flower,17,10,0.55,
142,Intermediate,1,Full,Bromus diandrus,15,9?,0.96,
143,Intermediate,1,Full,Bromus hordeaceous,13,?,0.46,"data sheet said cheatgrass, but scan is for Bromus hordeacous"
144,Intermediate,1,Full,Rabbit Brush,20,10,0.28,
145,Intermediate,1,Full,Foxtail,14,9,0.38,
118,Intermediate,3,Open,Bromus tectorum,19,14,0.48,
147,Intermediate,1,Full,Festuca myuros,12,6,0.065,It looks like I may have never taken this scan
148,Intermediate,1,Full,Erodium cicutarium,20,10,1.35,
149,Intermediate,1,Full,Popcorn Flower,18,9,0.53,
150,Intermediate,1,Partial,Bromus hordeaceus,14,10,0.23,
151,Intermediate,1,Partial,Bromus diandrus,21,?,1.06,Int-1-Partia-BroDia duplicate
152,Intermediate,1,Partial,festuca myuros,11,,0.06,
153,Intermediate,1,Partial,Bromus diandrus,19,,0.43,Int-1-Partia-BroDia duplicate
154,Intermediate,1,Partial,Erodium cicutarium,20,10,1.18,
155,Intermediate,1,Partial,Rabbit Brush,21,10,0.38,
156,Intermediate,1,Partial,Bedstraw,18,10,0.68,
157,Intermediate,1,Partial,Popcorn Flower,20,10,0.75,
158,Intermediate,1,full,Bedstraw,12,6,0.75,
159,Intermediate,2,open,Bedstraw,20,11,0.66,
160,Intermediate,3,full,Bedstraw,20,11,0.98,
161,Intermediate,3,full,rabbit Brush,20,10,0.43,
162,Intermediate,3,open,Bedstraw,20,10,0.63,
163,Mesic,1,Open,Bromus hordeaceus,20,11,0.38,
164,Mesic,1,Open,Bromus diandrus,10,5,0.54,
165,Mesic,1,Open,Foxtail,20,13,0.24,
166,Mesic,1,Open,Cheatgrass,20,14,0.43,
167,Mesic,1,Partial,Cheatgrass,10,9,0.1,
168,Mesic,1,Partial,Bromus diandrus,3,2,0.08,Mesic-1-BroDia duplicate; one is probably block 2
169,Mesic,1,Partial,Snowberry,20,10,0.92,
170,Mesic,1,Partial,Bedstraw,7,7,0.32,
171,Mesic,1,Partial,Gooseberry,18,9,1.28,
172,Mesic,1,Partial,Bromus diandrus,3,3,0.05,Mesic-1-BroDia duplicate; one is probably block 2
173,Mesic,2,Total,Gooseberry,18,9,1.26,
174,Mesic,2,Total,Cheatgrass,5,4,0.12,
175,Mesic,2,Total,Bromus hordeaceus,2,2,0.03,
176,Mesic,2,Total,Bromus diandrus,2,1,0.09,
177,Mesic,2,Total,Snowberry,12,6,0.42,
178,Mesic,2,Partial,Cheatgrass,6,5,0.07,
179,Mesic,2,Partial,Snowberry,20,11,0.65,
180,Mesic,3,Open,Cheatgrass,16,12,0.43,
181,Mesic,3,Open,Bromus diandrus,17,11,0.72,
182,Mesic,3,Open,Foxtail,15,9?,0.23,
183,Mesic,3,Open,Snowberry,20,10,0.71,
184,Mesic,3,Total,Cheatgrass,6,6,0.13,
185,Mesic,3,Total,Bromus diandrus,3,3,0.07,
186,Mesic,3,Total,Festuca myuros,8,8,0.01,
187,Mesic,3,Total,Snowberry,20,11,0.8,
188,Mesic,3,Partial,Cheatgrass,1,?,0.27,
189,Mesic,3,Partial,Bromus diandrus,4,4,0.16,
190,Mesic,3,Partial,Foxtail,2,1,0.05,
191,Mesic,3,Partial,Bromus hordeaceus,6,4,0.06,
192,Mesic,3,Partial,Snowberry,18,9,0.79,
193,Mesic,2,Open,Cheatgrass,7,?,0.11,
194,Mesic,2,Open,Bromus diandrus,3,3,0.05,
195,Mesic,2,Open,Bromus hordeaceus,13,8,0.16,
196,Mesic,2,Open,festuca myuros,7,5,0.02,
197,Mesic,2,Open,snowberry,20,10,0.74,
198,Mesic,2,Open,Rabbit Brush,10,5,0.14,
199,Mesic,2,Open,Gooseberry,20,10,1.38,
200,Mesic,3,Total,Gooseberry,20,10,1.39,
201,Mesic,3,Open,Gooseberry,20,10,1.48,
202,Mesic,2,Partial,Gooseberry,20,10,1.55,
203,Mesic,1,Total,Snowberry,20,10,0.63,
204,Mesic,1,Total,Bromus hordeaceus,7,4,0.1,
205,Mesic,1,Total,Cheatgrass,look at scan,5,0.18,
206,Mesic,1,Total,Bromus dian,2,1,0.01,There is no way this weight is correct
207,Mesic,1,Open,Gooseberry,20,10,1.73,
208,Mesic,3,Partial,Gooseberry,18,9,1.52,
209,Mesic,1,Open,Snowberry,20,10,0.66,
210,Mesic,1,Total,Gooseberry,18,9,1.37,
211,Mesic,1,Open,Bedstraw,19,10,0.54,
212,Mesic,3,Open,Bedstraw,6,5,0.33,
213,Mesic,2,Total,Bedstraw,8,5,0.47,
214,Mesic,1,Total,Bedstraw,14,?,0.45,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
