Unique_id,climate,block,treatment,field_name,species_name,individual,functional_group,wet_weight_g,wet_weight_mg,dry_weight_g,dry_weight_mg,leaf_num,Area_leaf_1,Area_leaf_2,Area_Leaf_total_mm2,Average_Leaf_Area,image,Scan,Processor,Include_2017_90_analysis?,Notes,need_to_process_scans,Notes
Arid.Cattle Exclosure.A.1,Arid,2,Cattle Exclosure,A,Bromus hordeaceus,1,grass,0.15,150,0.038,38,2,508.0221,516.0448,1024.0669,512.03345,Scan 51,Scan 51.pdf,Astrid,Yes,,,
Arid.Cattle Exclosure.J.2,Arid,2,Cattle Exclosure,J,Bromus hordeaceus,2,grass,0.032,32,0.006,6,,NA,NA,NA,NA,,Scan 46.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.trident grass.2,Arid,2,Cattle Exclosure,trident grass,Bromus hordeaceus,2,grass,0.011,11,0.011,11,2,54.3337,26.6439,80.9776,40.4888,,Scan 47.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.A.2,Arid,2,Cattle Exclosure,A,Bromus hordeaceus,2,grass,0.05,50,0.012,12,2,173.646,178.2,351.846,175.923,,Scan 51.pdf,Astrid,Yes,,,
Arid.Cattle Exclosure.J.3,Arid,2,Cattle Exclosure,J,Bromus hordeaceus,3,grass,NA,NA,0.009,9,,NA,NA,NA,NA,,Scan 46.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.J.3,Arid,2,Cattle Exclosure,J,Bromus hordeaceus,3,grass,0.041,41,0.009,9,,NA,NA,NA,NA,,Scan 46.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.trident grass.3,Arid,2,Cattle Exclosure,trident grass,Bromus hordeaceus,3,grass,0.02,20,0.011,11,2,62.2897,21.3231,83.6128,41.8064,,Scan 47.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.A.3,Arid,2,Cattle Exclosure,A,Bromus hordeaceus,3,grass,0.1,100,0.025,25,2,299.361,221.471,520.832,260.416,,Scan 51.pdf,Astrid,Yes,3.00E+01,,
Arid.Cattle Exclosure.trident grass.4,Arid,2,Cattle Exclosure,trident grass,Bromus hordeaceus,4,grass,0.009,9,0.006,6,2,41.2673,29.9056,71.1729,35.58645,,Scan 47.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.A.4,Arid,2,Cattle Exclosure,A,Bromus hordeaceus,4,grass,0.11,110,0.026,26,2,336.798,367.587,704.385,352.1925,,Scan 51.pdf,Astrid,Yes,,,
Arid.Cattle Exclosure.J.4,Arid,2,Cattle Exclosure,J,Bromus hordeaceus,4,grass,0.025,25,0.006,6,2,29.1405,178.4335,207.574,103.787,,Scan 46.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.A.5,Arid,2,Cattle Exclosure,A,Bromus hordeaceus,5,grass,0.08,80,0.032,32,2,509.2947,426.2237,935.5184,467.7592,,Scan 50.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.J.5,Arid,2,Cattle Exclosure,J,Bromus hordeaceus,5,grass,0.021,21,0.004,4,2,118.8267,61.1558,179.9825,89.99125,Scan 17,Scan 17.pdf,Jagger,Yes,,,
Arid.Cattle Exclosure.trident grass.5,Arid,2,Cattle Exclosure,trident grass,Bromus hordeaceus,5,grass,0.01,10,0.003,3,2,34.9763,33.6802,68.6565,34.32825,,Scan 48.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.A.6,Arid,2,Cattle Exclosure,A,Bromus hordeaceus,6,grass,0.08,80,0.018,18,2,312.4713,334.7052,647.1765,323.58825,,Scan 50.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.J.6,Arid,2,Cattle Exclosure,J,Bromus hordeaceus,6,grass,0.048,48,0.012,12,2,166.2842,199.3346,365.6188,182.8094,Scan 17,Scan 17.pdf,Jagger,Yes,,,
Arid.Cattle Exclosure.trident grass.6,Arid,2,Cattle Exclosure,trident grass,Bromus hordeaceus,6,grass,0.01,10,0.002,2,2,23.9637,18.56,42.5237,21.26185,,Scan 48.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.A.7,Arid,2,Cattle Exclosure,A,Bromus hordeaceus,7,grass,0.09,90,0.022,22,2,336.453,180.1804,516.6334,258.3167,,Scan 50.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.trident grass.7,Arid,2,Cattle Exclosure,trident grass,Bromus hordeaceus,7,grass,0.011,11,0.002,2,2,43.7027,52.8883,96.591,48.2955,,Scan 48.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.J.7,Arid,2,Cattle Exclosure,J,Bromus hordeaceus,7,grass,0.016,16,0.007,7,2,13.86,7.145,21.005,10.5025,,Scan 17.pdf,Astrid,Yes,,,
Arid.Cattle Exclosure.A.8,Arid,2,Cattle Exclosure,A,Bromus hordeaceus,8,grass,0.1,100,0.025,25,2,293.0868,354.5162,647.603,323.8015,,Scan 50.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.J.8,Arid,2,Cattle Exclosure,J,Bromus hordeaceus,8,grass,0.042,42,0.01,10,2,263.3883,116.4417,379.83,189.915,Scan 17,Scan 17.pdf,Jagger,Yes,,,
Arid.Cattle Exclosure.trident grass.8,Arid,2,Cattle Exclosure,trident grass,Bromus hordeaceus,8,grass,0.014,14,0.005,5,2,28.4907,43.2581,71.7488,35.8744,,Scan 48.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.A.9,Arid,2,Cattle Exclosure,A,Bromus hordeaceus,9,grass,0.1,100,0.024,24,2,276.3394,362.0529,638.3923,319.19615,,Scan 49.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.trident.9,Arid,2,Cattle Exclosure,trident,Bromus hordeaceus,9,grass,0.021,21,0.003,3,2,64.9844,36.7618,101.7462,50.8731,,Scan 49.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.trident grass.9,Arid,2,Cattle Exclosure,trident grass,Bromus hordeaceus,9,grass,0.015,15,0.003,3,2,NA,NA,NA,NA,,Scan 49.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.J.9,Arid,2,Cattle Exclosure,J,Bromus hordeaceus,9,grass,0.022,22,0.005,5,2,139.235,52.703,191.938,95.969,Scan 16,Scan 16.pdf,Maggie,Yes,,,
Arid.Cattle Exclosure.A.10,Arid,2,Cattle Exclosure,A,Bromus hordeaceus,10,grass,0.07,70,0.021,21,2,248.4445,229.8574,478.3019,239.15095,,Scan 49.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.trident.10,Arid,2,Cattle Exclosure,trident,Bromus hordeaceus,10,grass,0.01,10,0.007,7,2,26.653,18.983,45.636,22.818,,Scan 49.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.trident grass.10,Arid,2,Cattle Exclosure,trident grass,Bromus hordeaceus,10,grass,0.014,14,0.007,7,2,NA,NA,NA,NA,,Scan 49.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.J.10,Arid,2,Cattle Exclosure,J,Bromus hordeaceus,10,grass,0.044,44,0.011,11,2,168.751,202.934,371.685,185.8425,Scan 16,Scan 16.pdf,Maggie,Yes,,,
Arid.Cattle Exclosure.L.1,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,1,grass,0.09,90,0.022,22,2,302.839,243.395,546.234,273.117,,CCF16042017_100.pdf,Maggie,,,,
Arid.Cattle Exclosure.L.2,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,2,grass,0.01,10,0.004,4,1,NA,NA,78.289,78.289,,CCF16042017_100.pdf,Maggie,,,,
Arid.Cattle Exclosure.L.3,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,3,grass,0.03,30,0.007,7,1,NA,NA,NA,NA,CCF16042017_101,CCF16042017_101.pdf,tbd,,Needs editing,,
Arid.Cattle Exclosure.L.4,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,4,grass,0.01,10,0.009,9,1,NA,NA,NA,NA,CCF16042017_101,CCF16042017_101.pdf,tbd,,Needs editing,,
Arid.Cattle Exclosure.L.5,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,5,grass,0.044,44,0.003,3,1,NA,NA,NA,NA,CCF16042017_101,CCF16042017_101.pdf,tbd,,Needs editing,,
Arid.Cattle Exclosure.L.5,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,5,grass,0.01,10,0.003,3,1,NA,NA,NA,NA,CCF16042017_101,CCF16042017_101.pdf,tbd,,two dry weights - Needs editing,,
Arid.Cattle Exclosure.L.6,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,6,grass,0.022,22,0.004,4,1,NA,NA,NA,NA,CCF16042017_101,CCF16042017_101.pdf,tbd,,two dry weights - Needs editing,,
Arid.Cattle Exclosure.L.6,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,6,grass,0.03,30,0.004,4,1,NA,NA,NA,NA,CCF16042017_101,CCF16042017_101.pdf,tbd,,two dry weights - Needs editing,,
Arid.Cattle Exclosure.L.7,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,7,grass,0.042,42,0.003,3,1,NA,NA,NA,NA,CCF16042017_101,CCF16042017_101.pdf,tbd,,two dry weights - Needs editing,,
Arid.Cattle Exclosure.L.7,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,7,grass,0.02,20,0.003,3,1,NA,NA,NA,NA,CCF16042017_101,CCF16042017_101.pdf,tbd,,two dry weights - Needs editing,,
Arid.Cattle Exclosure.L.8,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,8,grass,0.016,16,0.006,6,2,NA,NA,NA,NA,CCF16042017_102,CCF16042017_102.pdf,tbd,,Needs editing,,
Arid.Cattle Exclosure.L.8,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,8,grass,0.02,20,0.006,6,1,NA,NA,NA,NA,CCF16042017_102,CCF16042017_102.pdf,tbd,,Needs editing,,
Arid.Cattle Exclosure.L.9,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,9,grass,0.04,40,0.13,130,1,NA,NA,NA,NA,CCF16042017_102,CCF16042017_102.pdf,tbd,,Needs editing,,
Arid.Cattle Exclosure.L.9,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,9,grass,0.048,48,0.013,13,1,NA,NA,NA,NA,CCF16042017_102,CCF16042017_102.pdf,tbd,,Needs editing,,
Arid.Cattle Exclosure.L.10,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,10,grass,0.021,21,0.006,6,1,NA,NA,NA,NA,CCF16042017_102,CCF16042017_102.pdf,tbd,,Needs editing,,
Arid.Cattle Exclosure.L.10,Arid,2,Cattle Exclosure,L,Bromus madritensis ssp. Ruben,10,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,CCF16042017_102,CCF16042017_102.pdf,tbd,,Needs editing,,
Arid.Cattle Exclosure.cheatgrass.1,Arid,2,Cattle Exclosure,cheatgrass,Bromus tectorum ,1,grass,0.16,160,NA,NA,2,310.8027,200.0383,510.841,255.4205,CCF16042017_97,CCF16042017_97.pdf,tbd,Yes,"envelop only says ""Bl3""",,
Arid.Cattle Exclosure.cheatgrass.2,Arid,2,Cattle Exclosure,cheatgrass,Bromus tectorum ,2,grass,0.08,80,0.022,22,2,178.831,299.887,478.718,239.359,CCF16042017_97,CCF16042017_97.pdf,Angela,Yes,,,
Arid.Cattle Exclosure.cheatgrass.3,Arid,2,Cattle Exclosure,cheatgrass,Bromus tectorum ,3,grass,0.07,70,0.019,19,2,220.062,342.905,562.967,281.4835,CCF16042017_97,CCF16042017_97.pdf,Angela,Yes,,,
Arid.Cattle Exclosure.cheatgrass.4,Arid,2,Cattle Exclosure,cheatgrass,Bromus tectorum ,4,grass,0.09,90,0.023,23,2,256.342,256.919,513.261,256.6305,,CCF16042017_98.pdf,Astrid,Yes,,,
Arid.Cattle Exclosure.cheatgrass.5,Arid,2,Cattle Exclosure,cheatgrass,Bromus tectorum ,5,grass,0.05,50,0.014,14,2,242.646,149.711,392.357,196.1785,,CCF16042017_98.pdf,Astrid,Yes,,,
Arid.Cattle Exclosure.cheatgrass.6,Arid,2,Cattle Exclosure,cheatgrass,Bromus tectorum ,6,grass,0.08,80,0.022,22,2,233.879,211.92,445.799,222.8995,CCF16042017_98,CCF16042017_98.pdf,Angela,Yes,,,
Arid.Cattle Exclosure.cheatgrass.6,Arid,2,Cattle Exclosure,cheatgrass,Bromus tectorum ,6,grass,0.08,80,0.02,20,2,233.879,211.92,445.799,222.8995,CCF16042017_98,CCF16042017_98.pdf,Angela,Yes,,,
Arid.Cattle Exclosure.cheatgrass.7,Arid,2,Cattle Exclosure,cheatgrass,Bromus tectorum ,7,grass,0.11,110,0.034,34,2,123.531,130.458,253.989,126.9945,,CCF16042017_99.pdf,,Yes,,,
Arid.Cattle Exclosure.cheatgrass.8,Arid,2,Cattle Exclosure,cheatgrass,Bromus tectorum ,8,grass,0.08,80,0.025,25,2,116.425,104.523,220.948,110.474,,CCF16042017_99.pdf,,Yes,,,
Arid.Cattle Exclosure.cheatgrass.9,Arid,2,Cattle Exclosure,cheatgrass,Bromus tectorum ,9,grass,0.06,60,0.014,14,2,138.349,129.342,267.691,133.8455,,CCF16042017_99.pdf,,Yes,,,
Arid.Cattle Exclosure.cheatgrass.10,Arid,2,Cattle Exclosure,cheatgrass,Bromus tectorum ,10,grass,0.04,40,0.012,12,2,155.53,234.933,390.463,195.2315,,CCF16042017_100.pdf,Maggie,Yes,,,
Arid.Cattle Exclosure.H.1,Arid,2,Cattle Exclosure,H,Calandrinia menziesii,1,forb,0.031,31,0.004,4,2,37.481,47.872,85.353,42.6765,,Scan 42.pdf,Maggie,,,,
Arid.Cattle Exclosure.H.2,Arid,2,Cattle Exclosure,H,Calandrinia menziesii,2,forb,0.028,28,0.004,4,,NA,NA,NA,NA,,Scan 43.pdf,,,,,
Arid.Cattle Exclosure.H.3,Arid,2,Cattle Exclosure,H,Calandrinia menziesii,3,forb,0.024,24,0.004,4,,NA,NA,NA,NA,,Scan 43.pdf,,,,,
Arid.Cattle Exclosure.H.4,Arid,2,Cattle Exclosure,H,Calandrinia menziesii,4,forb,0.026,26,0.005,5,,NA,NA,NA,NA,,Scan 43.pdf,,,,,
Arid.Cattle Exclosure.H.5,Arid,2,Cattle Exclosure,H,Calandrinia menziesii,5,forb,0.121,121,0.016,16,,NA,NA,NA,NA,,Scan 43.pdf,,,,,
Arid.Cattle Exclosure.H.5,Arid,2,Cattle Exclosure,H,Calandrinia menziesii,5,forb,0.07,70,0.016,16,,NA,NA,NA,NA,,Scan 43.pdf,,,,,
Arid.Cattle Exclosure.H.6,Arid,2,Cattle Exclosure,H,Calandrinia menziesii,6,forb,0.039,39,0.004,4,,NA,NA,NA,NA,,Scan 44.pdf,,,,,
Arid.Cattle Exclosure.H.7,Arid,2,Cattle Exclosure,H,Calandrinia menziesii,7,forb,0.015,15,0.001,1,,NA,NA,NA,NA,,Scan 44.pdf,,,,,
Arid.Cattle Exclosure.H.8,Arid,2,Cattle Exclosure,H,Calandrinia menziesii,8,forb,0.015,15,0.003,3,,NA,NA,NA,NA,,Scan 44.pdf,,,,,
Arid.Cattle Exclosure.H.9,Arid,2,Cattle Exclosure,H,Calandrinia menziesii,9,forb,0.027,27,0.003,3,,NA,NA,NA,NA,,Scan 44.pdf,,,,,
Arid.Cattle Exclosure.H.10,Arid,2,Cattle Exclosure,H,Calandrinia menziesii,10,forb,NA,NA,NA,NA,NA,NA,NA,NA,NA,,#N/A,NA,,,,
Arid.Cattle Exclosure.unkA.1,Arid,2,Cattle Exclosure,unkA,Cerastium glomeratum,1,forb,0.0255,25.5,0.003,3,1,NA,32.64,33.64,33.64,,Scan 70.pdf,Astrid,,,,
Arid.Cattle Exclosure.unkA.2,Arid,2,Cattle Exclosure,unkA,Cerastium glomeratum,2,forb,0.0221,22.1,0.002,2,2,NA,24.889,26.889,13.4445,,Scan 70.pdf,Astrid,,,,
Arid.Cattle Exclosure.unkA.3,Arid,2,Cattle Exclosure,unkA,Cerastium glomeratum,3,forb,0.0234,23.4,0.003,3,2,NA,36.832,39.832,19.916,,Scan 70.pdf,Astrid,,,,
Arid.Cattle Exclosure.unkA.4,Arid,2,Cattle Exclosure,unkA,Cerastium glomeratum,4,forb,0.0071,7.1,0.0029,2.9,2,NA,15.33,19.33,9.665,,Scan 70.pdf,Astrid,,,,
Arid.Cattle Exclosure.unkA.5,Arid,2,Cattle Exclosure,unkA,Cerastium glomeratum,5,forb,0.0155,15.5,0.003,3,2,NA,18.057,23.057,11.5285,,Scan 70.pdf,Astrid,,,,
Arid.Cattle Exclosure.unkA.6,Arid,2,Cattle Exclosure,unkA,Cerastium glomeratum,6,forb,0.0105,10.5,0.002,2,2,NA,11.655,17.655,8.8275,,Scan 70.pdf,Astrid,,,,
Arid.Cattle Exclosure.unkA.7,Arid,2,Cattle Exclosure,unkA,Cerastium glomeratum,7,forb,0.0071,7.1,0.001,1,2,NA,23.424,30.424,15.212,,Scan 67.pdf,Astrid,,,,
Arid.Cattle Exclosure.unkA.8,Arid,2,Cattle Exclosure,unkA,Cerastium glomeratum,8,forb,0.0102,10.2,0.002,2,2,NA,25.517,33.517,16.7585,,Scan 67.pdf,Astrid,,,,
Arid.Cattle Exclosure.unkA.9,Arid,2,Cattle Exclosure,unkA,Cerastium glomeratum,9,forb,NA,NA,NA,NA,NA,NA,NA,NA,NA,,#N/A,NA,,,,
Arid.Cattle Exclosure.unkA.10,Arid,2,Cattle Exclosure,unkA,Cerastium glomeratum,10,forb,NA,NA,NA,NA,NA,NA,NA,NA,NA,,#N/A,NA,,,,
Arid.Cattle Exclosure.fuzzy carrot.1,Arid,2,Cattle Exclosure,fuzzy carrot,Daucus Pusillus,1,forb,0.267,267,0.057,57,2,120.523,126.895,247.418,123.709,,CCF18042017_11.pdf,Erin,,,,
Arid.Cattle Exclosure.fuzzy carrot.2,Arid,2,Cattle Exclosure,fuzzy carrot,Daucus Pusillus,2,forb,0.045,45,0.008,8,2,41.228,40.097,81.325,40.6625,,CCF18042017_11.pdf,Erin,,,,
Arid.Cattle Exclosure.fuzzy carrot.3,Arid,2,Cattle Exclosure,fuzzy carrot,Daucus Pusillus,3,forb,0.085,85,0.018,18,2,89.632,92.315,181.947,90.9735,,Scan 60.pdf,Erin,,,,
Arid.Cattle Exclosure.fuzzy carrot.4,Arid,2,Cattle Exclosure,fuzzy carrot,Daucus Pusillus,4,forb,0.068,68,0.015,15,2,105.623,110.341,215.964,107.982,,Scan 61.pdf,Erin,,,,
Arid.Cattle Exclosure.fuzzy carrot.5,Arid,2,Cattle Exclosure,fuzzy carrot,Daucus Pusillus,5,forb,0.031,31,0.006,6,1,61.247,NA,61.247,61.247,,Scan 58.pdf,Erin,,,,
Arid.Cattle Exclosure.fuzzy carrot.6,Arid,2,Cattle Exclosure,fuzzy carrot,Daucus Pusillus,6,forb,0.045,45,0.012,12,2,46.212,58.246,104.458,52.229,,Scan 58.pdf,Erin,,,,
Arid.Cattle Exclosure.fuzzy carrot.7,Arid,2,Cattle Exclosure,fuzzy carrot,Daucus Pusillus,7,forb,0.084,84,0.022,22,2,76.523,78.932,155.455,77.7275,,Scan 59.pdf,Erin,,,,
Arid.Cattle Exclosure.fuzzy carrot.8,Arid,2,Cattle Exclosure,fuzzy carrot,Daucus Pusillus,8,forb,0.087,87,0.025,25,2,76.313,68.091,144.404,72.202,,Scan 58.pdf,Erin,,,,
Arid.Cattle Exclosure.fuzzy carrot.9,Arid,2,Cattle Exclosure,fuzzy carrot,Daucus Pusillus,9,forb,0.092,92,0.024,24,2,79.204,81.925,161.129,80.5645,,Scan 58.pdf,Erin,,,,
Arid.Cattle Exclosure.fuzzy carrot.10,Arid,2,Cattle Exclosure,fuzzy carrot,Daucus Pusillus,10,forb,0.112,112,0.031,31,2,87.246,88.034,175.28,87.64,,Scan 58.pdf,Erin,,,,
Arid.Cattle Exclosure.M.1,Arid,2,Cattle Exclosure,M,Erodium sp.,1,forb,0.0525,52.5,0.01,10,2,NA,NA,NA,NA,CCF18042017_5,CCF18042017_5.pdf,Angela,,,,Erodium brachycarpum
Arid.Cattle Exclosure.M.2,Arid,2,Cattle Exclosure,M,Erodium sp.,2,forb,0.132,132,0.029,29,2,NA,NA,NA,NA,CCF18042017_5,CCF18042017_5.pdf,Angela,,,,Erodium brachycarpum
Arid.Cattle Exclosure.M.3,Arid,2,Cattle Exclosure,M,Erodium sp.,3,forb,NA,NA,NA,NA,NA,NA,NA,NA,NA,,#N/A,NA,,,,Erodium brachycarpum
Arid.Cattle Exclosure.M.4,Arid,2,Cattle Exclosure,M,Erodium sp.,4,forb,NA,NA,NA,NA,NA,NA,NA,NA,NA,,#N/A,NA,,,,Erodium brachycarpum
Arid.Cattle Exclosure.M.5,Arid,2,Cattle Exclosure,M,Erodium sp.,5,forb,NA,NA,NA,NA,NA,NA,NA,NA,NA,,#N/A,NA,,,,Erodium brachycarpum
Arid.Cattle Exclosure.M.6,Arid,2,Cattle Exclosure,M,Erodium sp.,6,forb,NA,NA,NA,NA,NA,NA,NA,NA,NA,,#N/A,NA,,,,Erodium brachycarpum
Arid.Cattle Exclosure.M.7,Arid,2,Cattle Exclosure,M,Erodium sp.,7,forb,NA,NA,NA,NA,NA,NA,NA,NA,NA,,#N/A,NA,,"*need to try to find large enveleope to see if this exists, or is for another site",,Erodium brachycarpum
Arid.Cattle Exclosure.M.8,Arid,2,Cattle Exclosure,M,Erodium sp.,8,forb,NA,NA,NA,NA,NA,NA,NA,NA,NA,,#N/A,NA,,"*need to try to find large enveleope to see if this exists, or is for another site",,Erodium brachycarpum
Arid.Cattle Exclosure.M.9,Arid,2,Cattle Exclosure,M,Erodium sp.,9,forb,NA,NA,NA,NA,NA,NA,NA,NA,NA,,#N/A,NA,,,,Erodium brachycarpum
Arid.Cattle Exclosure.M.10,Arid,2,Cattle Exclosure,M,Erodium sp.,10,forb,NA,NA,NA,NA,NA,NA,NA,NA,NA,,#N/A,NA,,,,Erodium brachycarpum
Arid.Cattle Exclosure.N.1,Arid,2,Cattle Exclosure,N,Erodium sp.,1,forb,0.1227,122.7,0.023,23,2,348.266,198.374,546.64,273.32,,Scan 67.pdf,Astrid,Yes,,,Erodium cicutarium
Arid.Cattle Exclosure.N.2,Arid,2,Cattle Exclosure,N,Erodium sp.,2,forb,0.1268,126.8,0.025,25,2,344.395,178.878,523.273,261.6365,,Scan 67.pdf,Astrid,Yes,,,Erodium cicutarium
