index,climate,block,treatment,species,image,area,edited,notes
131,Intermediate,2,Partial,Bromus tectorum,scan 20.jpeg,4334.8048,yes,"scan says control, weight datasheet says Partial"
190,Mesic,1,Open,cheatgrass,Scan 03.jpeg,4312.8896,yes,
77,Arid,3,Partial,Foxtail,scan 76,4310.3934,yes,
207,Mesic,3,Open,Snowberry,Scan 19.jpeg,4303.5605,,
116,Intermediate,3,Partial,Bromus diandus,Scan 05.jpeg,4203.772,,
204,Mesic,3,Open,Cheatgrass,Scan 16.jpeg,4154.5084,yes,
146,Intermediate,3,Full,Bromus tectorum,Scan 36.jpeg,4123.7202,yes,"Label says Bromus diandrus, but is Bromus tectorum"
162,Intermediate,2,Open,erodium,scan 52.jpeg,4102.5777,,
38,Arid,1,Partial,Foxtail,Scan 37.jpeg,4038.1273,,
89,Arid,3,Open,Cheatgrass,Scan 88,4009.7304,,
183,Intermediate,2,Open,Bedstraw,Scan 73.jpeg,3952.2862,yes,
20,Arid,2,Partial,J,Scan 19.jpeg,3890.969,,
234,Mesic,1,Open,Snowberry,Scan 44.jpeg,3882.7443,,
145,Intermediate,3,Open,Erodium,Scan 35.jpeg,3876.232,,
122,Intermediate,3,Partial,Tridilea,Scan 11.jpeg,3873.2811,,
180,Intermediate,1,Partial,Bedstraw,Scan 70,3855.8763,yes,
9,Arid,2,Total,Popcorn flower,Scan 8.jpeg,3830.5556,,
13,Arid,2,Total,Clover,Scan 12.jpeg,3819.943,,
177,Intermediate,1,Partial,Bromus diandus,Scan 67,3795.7958,yes,Int-1-Partia-BroDia duplicate
90,Arid,3,Open,Tridilea,scan 89,9645.5418,yes,
139,Intermediate,3,Open,Bromus diandus,scan 28/29.jpeg,3764.5279,yes,
91,Arid,3,Open,Tridilea,scan 90,7665.9712,yes,
203,Mesic,2,Partial,Snowberry,Scan 15.jpeg,3656.386,,
113,Intermediate,3,Partial,Erodium circularium,Scan 01.jpeg,3649.7116,,
221,Mesic,2,Open,Snowberry,Scan 32.jpeg,3645.9159,,"label in envelope says Festuca, but was accidentally left on scanner.  It is in face Snowberry"
34,Arid,2,Open,Tridilea,Scan 33.jpeg,13592.7595,yes,
182,Intermediate,1,Full,Bedstraw,Scan 72.jpeg,3471.5516,,
53,Arid,1,Partial,Trifolium,Scan 52.jpeg,3206,,
168,Intermediate,1,Full,Bromus hordeaceous,scan 58.jpeg,3433.2646,yes,
171,Intermediate,1,Full,Bromus tectorum,Scan 61.jpeg,3431.0906,,
68,Arid,1,Open,Tridilea,Scan 67,6874.8905,yes,
46,Arid,1,Total,Trifolium,Scan 45.jpeg,3388.6369,,
95,Arid,3,OPEN,Bromus hordeaceous,Scan 94.jpeg,3384.6391,,
228,Mesic,1,Total,Snowberry,Scan 39.jpeg,3376.8825,,
186,Intermediate,3,Open,Bedstraw,Scan 76,3356.5285,yes,
153,Intermediate,1,Open,Bromus diandus,Scan 43.jpeg,3341.2152,,
8,Arid,2,Total,Cheatgrass,Scan 7.jpeg,3303.7914,,
126,Intermediate,2,Full,Bedstraw,Scan 15.jpeg,3291.5495,yes,
138,Intermediate,2,Partial,Bedstraw,scan 27.jpeg,3279.3889,yes,
236,Mesic,1,Open,Bedstraw,Scan 46.jpeg,3248.5801,,
27,Arid,2,Partial,Trifolium,Scan 26.jpeg,3228.3238,,
240,Mesic,1,Open,Bromus hordeaceous,Scan 00.jpeg,3217.8433,,
31,Arid,2,Open,Bromus hordeaceous,Scan 30.jpeg,3192.3972,,
73,Arid,3,Total,Trifolium,Scan 72.jpeg,3160.9859,yes,
97,Arid,3,Open,Hordeum murium,Scan 96.jpeg,3150.7214,,
47,Arid,1,Partial,Bromus hordeaceous,Scan 46.jpeg,3122.8022,yes,
92,Arid,3,Open,Tridilea,scan 91,3720.1344,yes,
238,Mesic,2,Total,Bedstraw,Scan 48.jpeg,3043.4161,,
170,Intermediate,1,Full,Foxtail,Scan 60.jpeg,3036.6623,,
81,Arid ,3,Partial,Trifolium,Scan 80.jpeg,2996.1685,,
16,Arid,2,Partial,Cheatgrass,Scan 15.jpeg,2986.3686,yes,Arid-2-Partial-cheatgrass duplicate; correct
239,Mesic,1,Total,Bedstraw,Scan 49.jpeg,2941.4213,yes,
181,Intermediate,1,Partial,Popcorn flower,Scan 71. jpeg,2902.2907,,
76,Arid,3,Partial,Cheatgrass,Scan 75,2899.2987,,
74,Arid,3,Partial,Bromus hordeaceous,Scan 73.jpeg,2879.5328,,
85,Arid,3,Total,Popcorn flower,Scan 84.jpeg,2855.5483,,
7,Arid,2,Total,Bromus hordeaceous,Scan 6.jpeg,2798.371,,
19,Arid,2,Open,Cheatgrass,Scan 18.jpeg,2762.5941,,
212,Mesic,3,Partial,cheatgrass,scan 24,2756.9607,,
206,Mesic,3,Open,Foxtail,Scan 18.jpeg,2738.1966,,
115,Intermediate,3,Partial,Bromus hordeaceous,Scan 03.jpeg,2688.6025,,
149,Intermediate,3,Full,Bromus hordeaceous,scan 39.jpeg,2673.489,yes,
164,Intermediate,2,Open,Bromus tectorum,scan 54.jpeg,2638.7482,,
136,Intermediate,2,Partial,Foxtail,scan 25.jpeg,2633.2501,,
129,Intermediate,2,Full,Bromus diandus,scan 18.jpeg,2622.4266,,scan 2
117,Intermediate,3,Partial,Cheatgrass,Scan 06.jpeg,2597.8789,,
194,Mesic,1,Partial,Bedstraw,Scan 07.jpeg,2566.5038,,
201,Mesic,2,Total,Snowberry,Scan 13.jpeg,2520.8312,,
54,Arid,1,Partial,Popcorn flower,Scan 53.jpeg,2458.3918,,
98,Arid,3,Open,Popcorn flower,Scan 97.jpeg,2411.8124,,
160,Intermediate,2,Open,Foxtail,scan 50.jpeg,2395.1534,,
6,Arid,2,Total,Bromus hordeaceous,Scan 5.jpeg,2376.4555,,
166,Intermediate,2,OPEN,Popcorn flower,scan 56.jpeg,2371.6046,,
84,Arid,3,Total,Festuca myuros,Scan 83.jpeg,2358.0941,,
189,Mesic,1,Open,Foxtail,Scan 02.jpeg,2324.184,yes,
154,Intermediate,1,Open,Bromus tectorum,scan 44.jpeg,2287.6651,,
10,Arid,2,Total,Cheatgrass,Scan 9.jpeg,2275.4401,,
173,Intermediate,1,Full,popcorn flower,scan 63,2232.7167,,
32,Arid,2,Open,Popcorn flower,Scan 31.jpeg,2134.6391,,
107,Arid,2,Open,Trifolium,Scan 106.jpeg,2132.1389,,
59,Arid,1,Open,Festuca myuros,Scan 58,2041.7312,yes,
94,Arid,3,Open,Trifolium,Scan 93.jpeg,1989.1099,,
237,Mesic,3,Open,Bedstraw,scan 47.jpeg,1909.5636,,
37,Arid ,1,Partial,Cheatgrass,Scan 36.jpeg,1875.8237,,Arid-2-Partial-cheatgrass duplicate; weight datasheet says block 1
127,Intermediate,2,Full,Bromus hordeaceous,scan 16.jpeg,1867.4239,,
35,Arid,2,Open,Tridilea,Scan 34.jpeg,9164.9404,yes,
140,Intermediate,3,Open,Bromus hordeaceous,Scan 30.jpeg,1765.8712,,
230,Mesic,1,Total,Cheatgrass,Scan 41.jpeg,1762.7816,,
174,Intermediate,1,Partial,Bromus hordeaceous,scan 64.jpeg,1755.5541,,
132,Intermediate,2,Partial,Bromus hordeaceous,scan 21.jpeg,1755.2587,,"scan says control, weight datasheet says partial"
163,Intermediate,2,Open,Bromus hordeaceous,scan 53.jpeg,1654.3656,,
52,Arid,1,Partial,Bedstraw,Scan 51.jpeg,1613.2616,yes,Arid-1-Parial-Bedstraw duplicate; pretty sure it is actually Partial
219,Mesic,2,Open,Bromus hordeaceous,Scan 30.jpeg,1598.5355,yes,
150,Intermediate,3,Full,Popcorn flower,scan 40.jpeg,1568.2481,,
158,Intermediate,1,Open,Popcorn flower,scan 48.jpeg,1540.8693,,
112,Arid,1,Open,Bedstraw,Scan 111.jpeg,1406.0255,,Arid-1-Open-Bedstraw duplicate; probably incorrect
208,Mesic,3,Total,Cheatgrass,Scan 20.jpeg,1405.8185,,
45,Arid,1,Total,Bedstraw,Scan 44.jpeg,1381.6931,yes,Arid-1-Parial-Bedstraw duplicate; pretty sure it is Total
64,Arid,1,Open,Bedstraw,SCAN 63,1365.681,yes,Arid-1-Open-Bedstraw duplicate; probably correct
101,Arid,3,Open,bestraw,Scan 100.jpeg,1364.3355,yes,
213,Mesic,3,Partial,Bromus diandus,Scan 25.jpeg,1325.5595,,
216,Mesic,3,Partial,Snowberry,Scan 28.jpeg,1321.9781,,
83,Arid,3,Partial,Popcorn flower,Scan 82.jpeg,1301.8628,,
191,Mesic,1,Partial,Cheatgrass,Scan 04.jpeg,1241.2128,,
12,Arid,2,Total,Festuca myuros,Scan 11.jpeg,1239.1208,yes,
100,Arid,3,Open,Festuca myuros,Scan 99.jpeg,1221.8096,yes,
36,Arid,1,Partial,Festuca myuros,Scan 35.jpeg,1194.512,,
61,Arid,1,Open,popcorn flower,Scan 60.jpeg,1165.8576,,
152,Intermediate,1,Open,Bromus hordeaceous,scan 42.jpeg,1148.0354,,
14,Arid,2,Total,Bedstraw,Scan 13.jpeg,1145.8515,yes,
198,Mesic,2,Total,cheatgrass,Scan 11.jpeg,1080.0443,,
111,Arid,2,Open,Bestraw,Scan 110.jpeg,1069.6707,yes,
99,Arid,3,Total,Bedstraw,Scan 98.jpeg,1057.2676,yes,
217,Mesic,2,Open,Cheatgrass,Scan 29.jpeg,1027.6017,,
18,Arid,2,Partial,Festuca myuros,Scan 17.jpeg,1026.1926,yes,
30,Arid,2,Open,Festuca myuros,Scan 29.jpeg,992.8519,,
28,Arid,2,Partial,Bedstraw,Scan 27.jpeg,983.9737,yes,
229,Mesic,1,Total,Bromus hordeaceous,Scan 40.jpeg,982.356,,
41,Arid,1,Total,Festuca myuros,Scan 40.jpeg,961.3139,yes,
144,Intermediate,3,Open,Rabbit Brush,Scan 34.jpeg,922.8192,,
185,Intermediate,3,Full,Rabbit Brush,Scan 75.jpeg,888.2958,,Int-3-Full-Rabbit Brush duplicate
200,Mesic,2,Total,Bromus diandus,Scan 12.jpeg,863.4842,,
202,Mesic,2,Partial,Cheatgrass,Scan 14.jpeg,844.7958,,
179,Intermediate,1,Partial,Rabbit Brush,scan 69.jpeg,841.9873,,
209,Mesic,3,Total,Bromus diandus,Scan 21.jpeg,816.2407,,
196,Mesic,1,Partial,Bromus diandus,Scan 09.jpeg,786.0048,,Mesic-1-BroDia duplicate; one is probably block 2
215,Mesic,3,Partial,Bromus hordeaceous,Scan 27.jpeg,753.5639,,
141,Intermediate,3,Open,Foxtail,Scan 31.jpeg,740.3717,,
192,Mesic,1,Partial,Bromus diandus,Scan 05.jpeg,718.0551,,Mesic-1-BroDia duplicate; one is probably block 2
169,Intermediate,1,Full,Rabbit Brush,scan 59.jpeg,716.7094,,
75,Arid,3,Partial,Festuca myuros,scan 74,708.0529,yes,
133,Intermediate,2,Partial,Rabbit Brush,scan 22.jpeg,687.441,,
124,Intermediate,2,Full,Rabbit Brush,Scan 13.jpeg,668.3995,,"Int-3-Full-Rabbit Brush duplicate, but weight datasheet says block 2"
157,Intermediate,1,Open,Rabbit Brush,scan 47.jpeg,638.268,,
218,Mesic,2,Open,Bromus diandus,Scan 29.jpeg,597.4287,,
148,Intermediate,3,Full,festuca myuros,scan 38.jpeg,595.7083,,
114,intermediate,3,Partial,Rabbit Brush,Scan 02.jpeg,588.5437,,
214,Mesic,3,Partial,Foxtail,Scan 26.jpeg,577.9458,,
165,Intermediate,2,Open,Rabbit Brush,scan 55.jpeg,563.9033,,
137,Intermediate,2,Partial,Festuca myuros,scan 26.jpeg,524.2476,,
232,Mesic,1,Total,Bromus diandus,Scan 42.jpeg,466.4096,,
199,Mesic,2,Total,Bromus hordeaceous,Scan 12.jpeg,399.2346,,
222,Mesic,2,Open,Rabbit Brush,Scan 33.jpeg,371.1352,,
161,Intermediate,2,Open,Festuca myuros,scan 51.jpeg,291.9931,,
142,Intermediate,3,Open,festuca myuros,Scan 32.jpeg,290.161,,
155,Intermediate,1,Open,Festuca myuros,Scan 45.jpeg,285.6393,,
176,Intermediate,1,Partial,Festuca myuros,scan 66,282.8686,,
123,Intermediate,2,Full,Festuca myuros,Scan 12.jpeg,227.374,,
220,Mesic,2,Open,Festuca myuros,Scan 31.jpeg,192.9663,,
210,Mesic,3,Total,Festuca myuros,Scan 22.jpeg,134.1068,,
,Intermediate,3,Partial,Bedstraw,scan 04.jpeg,,,*need to process scan
