climate,treatment,Block,species_name,functional_group,Abundance,leaf_area,sla,ldmc,Notes-taxonomy,Notes-data-sources
Arid,Open,C,Bromus hordeaceus,grass,0.115897038,358.187,52.63162222,221.4708849,,
Arid,Partial,B,Bromus hordeaceus,grass,0.203871748,165.1721411,25.66472872,322.764151,,
Arid,Partial,C,Bromus diandrus,grass,0.4173279,590.52404,17.69230395,355.8732339,,
Arid,Partial,C,Bromus hordeaceus,grass,0.099935664,165.1721411,25.66472872,322.764151,,
Arid,Total,C,Bromus madritensis ssp. Ruben,grass,0.098140264,142.4731667,36.83330172,248.3333333,,
Arid,Open,B,Bromus hordeaceus,grass,0.251503134,358.187,52.63162222,221.4708849,,
Arid,Open,C,Bromus madritensis ssp. Ruben,grass,0.039020394,137.0615,27.23063385,220.6241259,,
Arid,Total,C,Bromus tectorum,grass,0.083800134,305.27275,45.29082248,341.2980769,,
Intermediate,Open,E,Bromus tectorum,grass,0.132114421,254.5189432,31.90743448,565.327381,,took leaf area as average from Arid
Intermediate,Open,F,Bromus diandrus,grass,0.124755245,181.27825,18.39409906,365.1767399,,
Intermediate,Open,E,Bromus diandrus,grass,0.120613388,181.27825,18.39409906,365.1767399,,
Intermediate,Open,F,Bromus tectorum,grass,0.119160839,254.5189432,31.90743448,565.327381,,took leaf area as average from Arid
Intermediate,Open,D,Bromus hordeaceus,grass,0.115897038,171.5353333,27.40515897,213.9862298,,
Intermediate,Open,F,Bromus hordeaceus,grass,0.107412587,171.5353333,27.40515897,213.9862298,,
Intermediate,Partial,F,Bromus tectorum,grass,0.107142857,254.5189432,31.90743448,457.5383629,,"took ldmc as average of Intermediate Open and Intermediate Total, took leaf area as average from Arid"
Intermediate,Partial,D,Bromus hordeaceus,grass,0.099935664,217.6302,25.92066929,265.2116402,,
Arid,Open,A,Erodium sp.,forb,0.25726815,21.65175,8.268375,465.8085934,,
Arid,Open,A,Bromus hordeaceus,grass,0.274646744,358.187,52.63162222,221.4708849,,
Arid,Open,B,Bromus tectorum,grass,0.093897915,254.5189432,33.25801332,308.7444569,,"took average of Arid Total and Arid Partial for leaf area, sla, and ldmc"
Arid,Open,B,Calandrinia ciliata,forb,0.016899645,16.14963,16.494271,147.13222,,from Calandrinia menziesii
Arid,Total,A,Bromus tectorum,grass,0.018494055,305.27275,45.29082248,341.2980769,,
Intermediate,Partial,E,Bromus hordeaceus,grass,0.099209833,217.6302,25.92066929,265.2116402,,
Intermediate,Total,D,Bromus madritensis ssp. Ruben,grass,0.098140264,157.7351667,27.11625094,356.0422749,,took average from Arid
Arid,Partial,A,Erodium sp.,forb,0.044635611,163.3497,21.65885533,208.8788285,,
Arid,Open,B,Erodium sp.,forb,0.155942177,21.65175,8.268375,465.8085934,,
Intermediate,Total,F,Bromus hordeaceus,grass,0.084918296,198.0491,22.39022452,343.1428571,,
Intermediate,Total,D,Bromus tectorum,grass,0.083800134,254.5189432,31.90743448,349.7493449,,"took leaf area as average from Arid, took sla from average of Arid and Mesic"
Intermediate,Open,F,Bromus madritensis ssp. Ruben,grass,0.071608392,157.7351667,27.11625094,356.0422749,,took average from Arid
Arid,Partial,B,Erodium sp.,forb,0.023744707,163.3497,21.65885533,208.8788285,,
Intermediate,Partial,F,Erodium sp.,forb,0.053956835,310.9922,14.84768594,225.508689,,
Intermediate,Partial,E,Erodium sp.,forb,0.051799824,310.9922,14.84768594,225.508689,,
Arid,Open,A,Cerastium glomeratum,forb,0.017703427,23.942,104.9930833,189.5428422,,
Arid,Open,C,Bromus tectorum,grass,0.06122537,254.5189432,33.25801332,308.7444569,,"took average of Arid Total and Arid Partial for leaf area, sla, and ldmc"
Arid,Partial,B,Bromus tectorum,grass,0.04491833,203.7651364,21.22520415,276.1908369,,
Arid,Partial,A,Bromus diandrus,grass,0.329816588,590.52404,17.69230395,355.8732339,,
Arid,Partial,C,Bromus madritensis ssp. Ruben,grass,0.028307956,175.703,22.20053409,477.6058201,,
Intermediate,Open,E,Erodium sp.,forb,0.046004129,118.5921765,12.18905715,298.606126,,
Intermediate,Total,F,Erodium sp.,forb,0.043396732,157.1285938,11.92957354,208.2095682,,
Arid,Total,C,Erodium sp.,forb,0.06923594,116.9003182,12.74398639,229.9797339,,
Intermediate,Partial,D,Erodium sp.,forb,0.029809136,310.9922,14.84768594,225.508689,,
Mesic,Open,H,Ranunculus californicus,forb,0.16893424,1114.805063,13.96134069,227.5155462,,
Arid,Open,C,Erodium sp.,forb,0.092269219,21.65175,8.268375,465.8085934,,
Arid,Partial,C,Erodium sp.,forb,0.029809136,163.3497,21.65885533,208.8788285,,
Mesic,Total,I,Galium aparine,forb,0.199483409,30.7257,39.19451667,300.2184874,,
Mesic,Open,G,Ranunculus californicus,forb,0.132398221,1114.805063,13.96134069,227.5155462,,
Mesic,Open,I,Ranunculus californicus,forb,0.127190332,1114.805063,13.96134069,227.5155462,,
Intermediate,Total,E,Bromus hordeaceus,grass,0.066286529,198.0491,22.39022452,343.1428571,,
Intermediate,Partial,F,Bromus hordeaceus,grass,0.064748201,217.6302,25.92066929,265.2116402,,
Intermediate,Open,D,Bromus tectorum,grass,0.06122537,254.5189432,31.90743448,565.327381,,took leaf area as average from Arid
Intermediate,Total,F,Bromus tectorum,grass,0.058933833,254.5189432,31.90743448,349.7493449,,"took leaf area as average from Arid, took sla from average of Arid and Mesic"
Intermediate,Partial,E,Bromus tectorum,grass,0.058823529,254.5189432,31.90743448,457.5383629,,"took ldmc as average of Intermediate Open and Intermediate Total, took leaf area as average from Arid"
Intermediate,Total,E,Festuca myuros,grass,0.057733428,24.64516667,13.00561111,429.702381,May actually be Festuca microstachys,
Mesic,Total,I,Clarkia unguiculata,forb,0.0280151,NA,15.01647303,0.186100386,,SLA and LDMC from Clarkia purpurea from TRY Database
Mesic,Total,H,Galium aparine,forb,0.187773837,30.7257,39.19451667,300.2184874,,
Mesic,Partial,I,Galium aparine,forb,0.185211773,38.8064,28.56726324,246.4102564,,
Mesic,Partial,H,Galium aparine,forb,0.17358171,38.8064,28.56726324,246.4102564,,
Mesic,Open,G,Bromus tectorum,grass,0.100923709,254.5189432,30.55685565,456.8847891,,took leaf area as average from Arid
Mesic,Partial,G,Galium aparine,forb,0.168257833,38.8064,28.56726324,246.4102564,,
Arid,Open,B,Hordeum murinum,grass,0.025969042,214.6585,27.81817222,257.8711485,,
Mesic,Open,G,Collinsia parviflora,forb,0.100923709,60.12057,9.698157,376.35759,,"took leaf area, sla, and ldmc from Intermediate Partial"
Mesic,Total,H,Collinsia childii,forb,0.096181932,60.12057,9.698157,376.35759,Keckiella_breviflora ,"took leaf area, sla, and ldmc from Intermediate Partial"
Mesic,Open,I,Acmispon wrangelianus,forb,0.089425982,60.81055556,7.833453948,252.3809524,,
Mesic,Open,H,Bromus tectorum,grass,0.085411943,254.5189432,30.55685565,456.8847891,,took leaf area as average from Arid
Mesic,Total,G,Galium aparine,forb,0.141889349,30.7257,39.19451667,300.2184874,,
Mesic,Partial,G,Bromus tectorum,grass,0.081386544,254.5189432,30.55685565,456.8847891,,"took sla and ldmc from Mesic Open, took leaf area as average from Arid"
Mesic,Open,H,Collinsia parviflora,forb,0.073696145,60.12057,9.698157,376.35759,,"took leaf area, sla, and ldmc from Intermediate Partial"
Mesic,Total,G,Collinsia childii,forb,0.073579225,60.12057,9.698157,376.35759,,"took leaf area, sla, and ldmc from Intermediate Partial"
Mesic,Open,I,Galium aparine,forb,0.050755287,32.71535,26.68430667,313.5470085,,
Mesic,Open,G,Galium aparine,forb,0.047553883,32.71535,26.68430667,313.5470085,,
Mesic,Total,I,Collinsia childii,forb,0.063779058,60.12057,9.698157,376.35759,,"took leaf area, sla, and ldmc from Intermediate Partial"
Mesic,Open,I,Gayophytum diffusum ssp. Parviflorum,forb,0.064652568,106.61478,24.882093,190.91696,,
Mesic,Open,I,Collinsia parviflora,forb,0.06102719,60.12057,9.698157,376.35759,,"took leaf area, sla, and ldmc from Intermediate Partial"
Mesic,Open,G,Gayophytum diffusum ssp. Parviflorum,forb,0.056448854,106.61478,24.882093,190.91696,,
Intermediate,Partial,F,Gayophytum diffusum ssp. Parviflorum,forb,0.031860226,115.85336,11.565951,195.83333,,
Arid,Total,C,Gayophytum diffusum ssp. Parviflorum,forb,0.021958324,60.57678167,16.99573567,283.5553017,,took as average from all treatments in Intermediate and Mesic
Mesic,Open,H,Gayophytum diffusum ssp. Parviflorum,forb,0.053665911,106.61478,24.882093,190.91696,,
Intermediate,Open,E,Gayophytum diffusum ssp. Parviflorum,forb,0.026835742,20.11695,30.170236,337.8951,,
Intermediate,Open,E,Bromus madritensis ssp. Ruben,grass,0.056325568,157.7351667,27.11625094,356.0422749,,took average from Arid
Mesic,Total,H,Clarkia unguiculata,forb,0.011475068,NA,15.01647303,0.186100386,,SLA and LDMC from Clarkia purpurea from TRY Database
Intermediate,Total,D,Gayophytum diffusum ssp. Parviflorum,forb,0.021958324,40.55775,10.03784,236.6666,,
Arid,Partial,C,Bromus tectorum,grass,0.049538923,203.7651364,21.22520415,276.1908369,,
Arid,Partial,A,Bromus hordeaceus,grass,0.133906833,165.1721411,25.66472872,322.764151,,
Intermediate,Total,D,Bromus hordeaceus,grass,0.053775487,198.0491,22.39022452,343.1428571,,
Mesic,Partial,I,Gayophytum diffusum ssp. Parviflorum,forb,0.034996411,59.1495,13.720865,376.53121,,
Intermediate,Partial,D,Bromus tectorum,grass,0.049538923,254.5189432,31.90743448,457.5383629,,"took ldmc as average of Intermediate Open and Intermediate Total, took leaf area as average from Arid"
Mesic,Partial,G,Gayophytum diffusum ssp. Parviflorum,forb,0.030962272,59.1495,13.720865,376.53121,,
Arid,Partial,C,Gayophytum diffusum ssp. Parviflorum,forb,0.018443062,60.57678167,16.99573567,283.5553017,,took as average from all treatments in Intermediate and Mesic
Intermediate,Total,E,Bromus tectorum,grass,0.043715847,254.5189432,31.90743448,349.7493449,,"took leaf area as average from Arid, took sla from average of Arid and Mesic"
Intermediate,Partial,D,Gayophytum diffusum ssp. Parviflorum,forb,0.018443062,115.85336,11.565951,195.83333,,
Intermediate,Open,D,Acmispon wrangelianus,forb,0.041391799,95.06470911,12.85743941,282.5028136,,"took averages from Arid and Mesic for leaf area, sla, and ldmc"
Intermediate,Open,D,Bromus madritensis ssp. Ruben,grass,0.039020394,157.7351667,27.11625094,356.0422749,,took average from Arid
Intermediate,Total,E,Bromus madritensis ssp. Ruben,grass,0.034449988,157.7351667,27.11625094,356.0422749,,took average from Arid
Intermediate,Total,E,Gayophytum diffusum ssp. Parviflorum,forb,0.017818959,40.55775,10.03784,236.6666,,
Arid,Partial,B,Claytonia perfoliata,forb,0.011796733,677.0966667,29.15681639,88.253205,,leaf area and sla from TRY Database
Arid,Partial,A,Bromus madritensis ssp. Ruben,grass,0.017691933,175.703,22.20053409,477.6058201,,
Arid,Partial,A,Bromus tectorum,grass,0.046258724,203.7651364,21.22520415,276.1908369,,
Mesic,Partial,H,Gayophytum diffusum ssp. Parviflorum,forb,0.020533446,59.1495,13.720865,376.53121,,
Mesic,Total,I,Gayophytum diffusum ssp. Parviflorum,forb,0.016491158,21.16835,11.597429,363.48861,,
Arid,Open,A,Gilia tricolor,forb,0.027610849,NA,NA,263.4229838,,Process Scans
Arid,Total,A,Festuca myuros,grass,0.029722589,29.0851875,12.76016966,374.0491222,Festuca microstachys?,too leaf area as average of Arid and Intermediate treatments
Arid,Total,B,Festuca myuros,grass,0.018919487,29.0851875,12.76016966,374.0491222,Festuca microstachys?,too leaf area as average of Arid and Intermediate treatments
Mesic,Total,H,Dichelostemma capitatum,forb,0.01564782,NA,NA,NA,,from TRY
Arid,Partial,B,Dichelostemma capitatum,forb,0.012855414,NA,NA,NA,,from TRY
Intermediate,Partial,F,Festuca myuros,grass,0.033658787,24.795875,12.05055833,366.2698413,Festuca microstachys?,
Intermediate,Open,E,Festuca myuros,grass,0.032733707,21.0538,3.949318162,842.2619048,Festuca microstachys?,
Intermediate,Partial,E,Urtica dioica,forb,0.031899327,1559.746983,31.1474667,203.9067625,,got leaf area and sla from TRY Database
Intermediate,Partial,F,Bromus madritensis ssp. Ruben,grass,0.031860226,157.7351667,27.11625094,356.0422749,,took average from Arid
Arid,Partial,B,Gilia tricolor,forb,0.023442226,NA,NA,263.42298,,Process Scans
Arid,Partial,A,Gilia tricolor,forb,0.026781367,NA,NA,263.42298,,Process Scans
Intermediate,Partial,D,Bromus madritensis ssp. Ruben,grass,0.028307956,157.7351667,27.11625094,356.0422749,,took average from Arid
Mesic,Total,G,Hosackia crassifolia var. crassifolia,forb,0.044787354,659.02675,19.707227,320.32167,,"leaf area, sla, ldmc from Mesic Partial"
Arid,Partial,A,Cerastium glomeratum,forb,0.011848726,16.124,13.53704382,183.2185885,,
Mesic,Partial,G,Hosackia crassifolia var. crassifolia,forb,0.040679118,659.02675,19.707227,320.32167,,
Mesic,Open,I,Bromus tectorum,grass,0.055589124,254.5189432,30.55685565,456.8847891,,took leaf area as average from Arid
Mesic,Total,H,Bromus tectorum,grass,0.05466305,254.5189432,30.55685565,456.8847891,,"took sla and ldmc from Mesic Open, took leaf area as average from Arid"
Mesic,Partial,H,Hosackia crassifolia var. crassifolia,forb,0.015029636,659.02675,19.707227,320.32167,,
Mesic,Total,H,Hosackia crassifolia var. crassifolia,forb,0.009388692,659.02675,19.707227,320.32167,,"leaf area, sla, ldmc from Mesic Partial"
Arid,Open,B,Leptosiphon ciliatus,forb,0.017909684,NA,NA,NA,Leptosiphon bicolor ?,From Try
Arid,Open,A,Leptosiphon ciliatus,forb,0.014617509,NA,NA,NA,Leptosiphon bicolor ?,From Try
Mesic,Total,G,Bromus tectorum,grass,0.053067369,254.5189432,30.55685565,456.8847891,,"took sla and ldmc from Mesic Open, took leaf area as average from Arid"
Mesic,Partial,I,Prunus virginiana,shrub,0.052045944,2280.183656,15.15151515,NA,,leaf area and sla from TRY Database
Mesic,Partial,I,Leptosiphon ciliatus,forb,0.01758794,NA,NA,NA,Leptosiphon bicolor ?,From Try
Mesic,Open,G,Acmispon wrangelianus,forb,0.049264454,60.81055556,7.833453948,252.3809524,,
Mesic,Partial,I,Acmispon wrangelianus,forb,0.047559225,55.85855556,6.971445178,280.3623667,,
Arid,Partial,A,Lupinus bicolor,forb,0.016393443,89.95155,9.893931484,179.582883,,
Intermediate,Open,E,Acmispon wrangelianus,forb,0.025951047,95.06470911,12.85743941,282.5028136,,"took averages from Arid and Mesic for leaf area, sla, and ldmc"
Intermediate,Partial,D,Asteraceae sp.,forb,0.022732147,342.6138824,15.61248669,NA,,From Try
Arid,Open,C,Medicago polymorpha,forb,0.0206959,109.989,20.0924046,240.7800853,,
Intermediate,Open,D,Medicago polymorpha,forb,0.0206959,617.80567,15.601655,290.77806,"Medicago polymorpha, but lumping clovers together",merge
Arid,Open,B,Medicago polymorpha,forb,0.07982602,109.989,20.0924046,240.7800853,,
Arid,Partial,B,Medicago polymorpha,forb,0.013460375,68.08291667,12.45303162,1000,,ldmc seems high
Arid,Open,A,Hordeum murinum,grass,0.019327595,214.6585,27.81817222,257.8711485,,
Arid,Open,A,Medicago polymorpha,forb,0.081533214,109.989,20.0924046,240.7800853,,
Arid,Partial,A,Medicago polymorpha,forb,0.021100471,68.08291667,12.45303162,1000,,ldmc seems high
Intermediate,Open,E,Medicago polymorpha,forb,0.014155116,617.80567,15.601655,290.77806,, run again 
Mesic,Total,I,Bromus tectorum,grass,0.043512815,254.5189432,30.55685565,456.8847891,,"took sla and ldmc from Mesic Open, took leaf area as average from Arid"
Mesic,Open,H,Melica californica,grass,0.067649282,178.479,20.69029111,706.164509,,
Intermediate,Partial,E,Bromus madritensis ssp. Ruben,grass,0.021656424,157.7351667,27.11625094,356.0422749,,took average from Arid
Mesic,Open,G,Melica californica,grass,0.062606911,178.479,20.69029111,706.164509,,
Arid,Partial,A,Claytonia perfoliata,forb,0.014445707,677.0966667,29.15681639,88.253205,,leaf area and sla from TRY Database
Arid,Partial,B,Hordeum murinum,grass,0.028433152,246.92875,21.45820037,285.1650433,,leaf area as average of Arid Open and Arid Total
Mesic,Partial,G,Melica californica,grass,0.059270635,191.7965,24.32562792,463.6858974,,
Mesic,Total,G,Melica californica,grass,0.053255551,64.68902083,15.11789297,600.7936508,,
Mesic,Total,H,Melica californica,grass,0.043813895,64.68902083,15.11789297,600.7936508,,
Mesic,Total,I,Melica californica,grass,0.035962647,64.68902083,15.11789297,600.7936508,,
Arid,Total,A,Hordeum murinum,grass,0.055702334,279.199,25.38172727,407.4468864,,
Arid,Total,B,Hordeum murinum,grass,0.035286345,279.199,25.38172727,407.4468864,,
Mesic,Partial,H,Melica californica,grass,0.031541067,191.7965,24.32562792,463.6858974,,
Mesic,Partial,I,Melica californica,grass,0.025484566,191.7965,24.32562792,463.6858974,,
Mesic,Partial,H,Bromus tectorum,grass,0.039373412,254.5189432,30.55685565,456.8847891,,"took sla and ldmc from Mesic Open, took leaf area as average from Arid"
Mesic,Open,I,Melica californica,grass,0.016012085,178.479,20.69029111,706.164509,,
Mesic,Open,I,Prunus virginiana,shrub,0.036253776,2280.183656,15.15151515,NA,,leaf area and sla from TRY Database
Mesic,Partial,I,Mimulus subsecundus,forb,0.04684135,NA,NA,NA,,From Try
Mesic,Total,I,Prunus virginiana,shrub,0.036161335,2280.183656,15.15151515,NA,,leaf area and sla from TRY Database
Arid,Partial,C,Festuca myuros,grass,0.01629852,45.8459,15.85184345,202.020202,Festuca microstachys?,
Intermediate,Total,E,Acmispon wrangelianus,forb,0.020432407,95.06470911,12.85743941,282.5028136,,"took averages from Arid and Mesic for leaf area, sla, and ldmc"
Mesic,Total,I,Mimulus subsecundus,forb,0.034373137,NA,NA,NA,,From Try
Arid,Total,A,Trifolium sp.,forb,0.053940995,50.2068,13.88730207,297.2876871,"Actually Trifolium albopurpureum, but trifoliums grouped together",
Arid,Partial,A,Festuca myuros,grass,0.023697452,45.8459,15.85184345,202.020202,Festuca microstachys?,
Mesic,Open,G,Mimulus subsecundus,forb,0.02805337,NA,NA,NA,,From Try
Mesic,Partial,G,Mimulus subsecundus,forb,0.026892945,NA,NA,NA,,From Try
Mesic,Open,H,Mimulus subsecundus,forb,0.023809524,NA,NA,NA,,From Try
Mesic,Open,I,Mimulus subsecundus,forb,0.020241692,NA,NA,NA,,From Try
Mesic,Total,G,Mimulus subsecundus,forb,0.01564782,NA,NA,NA,Erythranthe_sierrae?,From Try
Mesic,Partial,I,Collinsia childii,forb,0.034458004,60.12057,9.698157,376.35759,,"took leaf area, sla, and ldmc from Intermediate Partial"
Intermediate,Partial,D,Nemophila menziesii,forb,0.055543641,NA,NA,NA,,from TRY
Mesic,Open,H,Acmispon wrangelianus,forb,0.032879819,60.81055556,7.833453948,252.3809524,,
Arid,Partial,C,Nemophila menziesii,forb,0.055543641,NA,NA,NA,,from TRY
Mesic,Total,I,Penstemon laetus,forb,0.022650507,NA,NA,NA,,from TRY
Mesic,Total,G,Claytonia perfoliata,forb,0.031238239,677.0966667,29.15681639,88.253205,,leaf area and sla from TRY Database
Mesic,Partial,I,Penstemon laetus,forb,0.022254128,NA,NA,NA,,from TRY
Mesic,Total,I,Acmispon wrangelianus,forb,0.030598053,121.1675,17.83009706,300.2619048,,
Mesic,Total,H,Penstemon laetus,forb,0.017525558,NA,NA,NA,,from TRY
Mesic,Partial,H,Penstemon laetus,forb,0.014394581,NA,NA,NA,,from TRY
Arid,Open,B,Phacelia sp.,forb,0.028399642,5175.866487,29.085,0.1114775,grouping all Phacelias together,from Phacelia tanacetifolia from TRY Database
Mesic,Partial,G,Phacelia sp.,forb,0.036977799,5175.866487,29.085,0.1114775,grouping all Phacelias together,from Phacelia tanacetifolia from TRY Database
Arid,Partial,C,Phacelia sp.,forb,0.019515333,5175.866487,29.085,0.1114775,grouping all Phacelias together,from Phacelia tanacetifolia from TRY Database
Mesic,Partial,H,Phacelia sp.,forb,0.029424217,5175.866487,29.085,0.1114775,grouping all Phacelias together,from Phacelia tanacetifolia from TRY Database
Intermediate,Partial,D,Phacelia sp.,forb,0.019515333,5175.866487,29.085,0.1114775,grouping all Phacelias together,from Phacelia tanacetifolia from TRY Database
Arid,Total,B,Trifolium sp.,forb,0.044896243,50.2068,13.88730207,297.2876871,"Actually Trifolium albopurpureum, but trifoliums grouped together",
Mesic,Partial,H,Collinsia childii,forb,0.027095682,60.12057,9.698157,376.35759,,"took leaf area, sla, and ldmc from Intermediate Partial"
Mesic,Partial,I,Phacelia sp.,forb,0.021536253,5175.866487,29.085,0.1114775,grouping all Phacelias together,from Phacelia tanacetifolia from TRY Database
Mesic,Partial,I,Astragalus sp.,forb,0.026740847,132.15033,16.062393,NA,,leaf area and sla from Astragalus didymocarpus at Arid Open
Mesic,Total,I,Phacelia sp.,forb,0.015696404,5175.866487,29.085,0.1114775,grouping all Phacelias together,from Phacelia tanacetifolia from TRY Database
Mesic,Total,G,Phacelia sp.,forb,0.013360933,5175.866487,29.085,0.1114775,grouping all Phacelias together,from Phacelia tanacetifolia from TRY Database
Arid,Partial,B,Phacelia sp.,forb,0.015728978,5175.866487,29.085,0.1114775,grouping all Phacelias together,from Phacelia tanacetifolia from TRY Database
Arid,Total,B,Triteleia ixioides,forb,0.038139283,1264.548333,4.254003042,200.4046675,,
Arid,Partial,A,Phacelia sp.,forb,0.031813017,5175.866487,29.085,0.1114775,grouping all Phacelias together,from Phacelia tanacetifolia from TRY Database
Mesic,Partial,H,Pholistoma auritum,forb,0.031541067,NA,NA,NA,,from TRY
Mesic,Total,I,Pholistoma auritum,forb,0.026226902,NA,NA,NA,,from TRY
Mesic,Partial,G,Pholistoma auritum,forb,0.02459289,NA,NA,NA,,from TRY
Mesic,Partial,G,Collinsia childii,forb,0.026185236,60.12057,9.698157,376.35759,,"took leaf area, sla, and ldmc from Intermediate Partial"
Mesic,Partial,I,Pholistoma auritum,forb,0.020818378,NA,NA,NA,,from TRY
Intermediate,Open,D,Plagiobothrys sp.,forb,0.04613461,53.81805167,28.18617067,943.90418,,took as average of Arid and Mesic treatments
Mesic,Total,I,Plagiobothrys sp.,forb,0.045499702,108.2781,44.78154905,175.4429689,,
Mesic,Total,H,Acmispon wrangelianus,forb,0.023993324,121.1675,17.83009706,300.2619048,Acmispon_argophyllus,
Arid,Open,C,Plagiobothrys sp.,forb,0.04613461,9.9405,16.35525,342.2796935,,
Mesic,Partial,G,Acmispon wrangelianus,forb,0.023177472,55.85855556,6.971445178,280.3623667,,
Arid,Open,A,Plagiobothrys sp.,forb,0.024687348,9.9405,16.35525,342.2796935,,
Arid,Open,A,Trifolium sp.,forb,0.048075361,50.2068,26.46299074,300.2507494,"Actually Trifolium albopurpureum, but trifoliums grouped together","leaf area from Arid Total, sla from Arid Partial"
Arid,Partial,A,Hordeum murinum,grass,0.043824055,246.92875,21.45820037,285.1650433,,leaf area as average of Arid Open and Arid Total
Mesic,Partial,H,Plagiobothrys sp.,forb,0.029000847,42.79361111,14.68841723,274.1892552,,
Arid,Open,B,Stellaria sp,forb,0.018677242,239.4205119,85.46866996,0.1019994,,"SLA, LA, and LDMC from Stellaria media from TRY Database"
Mesic,Open,H,Plagiobothrys sp.,forb,0.028344671,105.906125,29.10441287,213.4310288,,
Mesic,Partial,G,Plagiobothrys sp.,forb,0.02653909,42.79361111,14.68841723,274.1892552,,
