PRISM Time Series Data,,,,,,,,,,,
Locations: 27,,,,,,,,,,,
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax",,,,,,,,,,,
A_ B_Open,-118.674,35.0249,834,2001,411.95,9.5,16.3,23.2,2.8,4.78,24.51
A_ B_Open,-118.674,35.0249,834,2002,216.63,9.2,16.2,23.1,1.2,5.12,24.69
A_ B_Open,-118.674,35.0249,834,2003,414.29,9.5,16.1,22.6,2,5.03,23.3
A_ B_Open,-118.674,35.0249,834,2004,328.59,9.5,15.8,22.1,1.1,5.41,22.74
A_ B_Open,-118.674,35.0249,834,2005,538.09,9.2,15.4,21.7,2.4,4.19,20.78
A_ B_Open,-118.674,35.0249,834,2006,271.89,9.1,15.7,22.3,1,4.99,22.91
A_ B_Open,-118.674,35.0249,834,2007,211.3,9.1,15.6,22.1,-0.6,5.35,23.06
A_ B_Open,-118.674,35.0249,834,2008,262.67,9.4,15.7,22,-0.5,5.95,23.48
A_ B_Open,-118.674,35.0249,834,2009,212.7,9.1,15.7,22.2,0.2,5.47,23.12
A_ B_Open,-118.674,35.0249,834,2010,721.63,8.5,14.8,21.1,1.9,4.21,20.45
A_ B_Open,-118.674,35.0249,834,2011,415.13,8.3,14.7,21.2,1,4.16,20.97
A_ B_Open,-118.674,35.0249,834,2012,287.95,9.5,16.2,23,0.1,5.37,24.64
A_ B_Open,-118.674,35.0249,834,2013,158.32,9.6,16.1,22.5,-0.6,5.81,23.77
A_ B_Open,-118.674,35.0249,834,2014,363.71,10.4,17.1,23.8,0.3,6,25.22
A_ B_Open,-118.674,35.0249,834,2015,269.04,10.4,16.9,23.4,1.7,5.09,23.97
A_ B_Open,-118.674,35.0249,834,2016,333.57,10.1,16.6,23.2,1.4,5.35,24.3
A_ B_Open,-118.674,35.0249,834,2017,313.98,10.5,16.8,23.1,1.7,5.5,23.89
A_ B_Partial,-118.672,35.0264,826,1997,319.58,8.1,15.4,22.6,2.6,3.56,22.11
A_ B_Partial,-118.672,35.0264,826,1998,777.96,8.3,14.5,20.7,3.2,3.49,18.86
A_ B_Partial,-118.672,35.0264,826,1999,264.1,8.5,15.6,22.6,0.5,4.66,23.18
A_ B_Partial,-118.672,35.0264,826,2000,282.17,9,16,23,1.8,4.24,23.46
A_ B_Partial,-118.672,35.0264,826,2001,411.32,9.5,16.3,23.2,2.8,4.78,24.61
A_ B_Partial,-118.672,35.0264,826,2002,216.57,9.2,16.2,23.2,1.2,5.13,24.76
A_ B_Partial,-118.672,35.0264,826,2003,412.93,9.6,16.1,22.6,2.1,5.04,23.36
A_ B_Partial,-118.672,35.0264,826,2004,328.78,9.5,15.8,22.1,1.2,5.43,22.81
A_ B_Partial,-118.672,35.0264,826,2005,536.74,9.2,15.5,21.7,2.4,4.19,20.84
A_ B_Partial,-118.672,35.0264,826,2006,272.69,9.1,15.7,22.3,1,5,22.99
A_ B_Partial,-118.672,35.0264,826,2007,210.41,9.2,15.7,22.2,-0.6,5.36,23.13
A_ B_Partial,-118.672,35.0264,826,2008,262.32,9.4,15.8,22.1,-0.5,5.96,23.57
A_ B_Partial,-118.672,35.0264,826,2009,212.9,9.1,15.7,22.3,0.2,5.48,23.19
A_ B_Partial,-118.672,35.0264,826,2010,721.25,8.6,14.8,21.1,1.9,4.21,20.52
A_ B_Partial,-118.672,35.0264,826,2011,415.09,8.3,14.7,21.2,1,4.15,21.03
A_ B_Partial,-118.672,35.0264,826,2012,287.71,9.5,16.3,23,0.1,5.38,24.7
A_ B_Partial,-118.672,35.0264,826,2013,157.89,9.6,16.1,22.5,-0.6,5.81,23.84
A_ B_Partial,-118.672,35.0264,826,2014,363.74,10.4,17.2,23.9,0.3,6,25.28
A_ B_Partial,-118.672,35.0264,826,2015,269.87,10.4,16.9,23.4,1.8,5.09,24.04
A_ B_Partial,-118.672,35.0264,826,2016,334.9,10.1,16.7,23.2,1.4,5.36,24.39
A_ B_Partial,-118.672,35.0264,826,2017,313.95,10.5,16.9,23.2,1.7,5.5,23.95
,,,,,,,,,,,
A_ B_Total,-118.6726,35.0256,831,1997,319.52,8.1,15.4,22.6,2.6,3.56,22.04
A_ B_Total,-118.6726,35.0256,831,1998,779.16,8.2,14.5,20.7,3.2,3.49,18.8
A_ B_Total,-118.6726,35.0256,831,1999,264.49,8.5,15.5,22.6,0.5,4.65,23.12
A_ B_Total,-118.6726,35.0256,831,2000,282.55,9,16,23,1.8,4.24,23.41
A_ B_Total,-118.6726,35.0256,831,2001,411.84,9.5,16.3,23.2,2.8,4.78,24.55
A_ B_Total,-118.6726,35.0256,831,2002,216.71,9.2,16.2,23.1,1.2,5.12,24.71
A_ B_Total,-118.6726,35.0256,831,2003,413.85,9.5,16.1,22.6,2,5.04,23.32
A_ B_Total,-118.6726,35.0256,831,2004,328.94,9.5,15.8,22.1,1.1,5.42,22.76
A_ B_Total,-118.6726,35.0256,831,2005,537.79,9.2,15.5,21.7,2.4,4.19,20.8
A_ B_Total,-118.6726,35.0256,831,2006,272.49,9.1,15.7,22.3,1,5,22.94
A_ B_Total,-118.6726,35.0256,831,2007,210.98,9.1,15.6,22.1,-0.6,5.36,23.08
A_ B_Total,-118.6726,35.0256,831,2008,262.69,9.4,15.7,22.1,-0.5,5.96,23.52
A_ B_Total,-118.6726,35.0256,831,2009,212.98,9.1,15.7,22.2,0.2,5.47,23.15
A_ B_Total,-118.6726,35.0256,831,2010,721.83,8.5,14.8,21.1,1.9,4.21,20.48
A_ B_Total,-118.6726,35.0256,831,2011,415.34,8.3,14.7,21.2,1,4.15,20.99
A_ B_Total,-118.6726,35.0256,831,2012,288.01,9.5,16.2,23,0.1,5.37,24.66
A_ B_Total,-118.6726,35.0256,831,2013,158.19,9.6,16.1,22.5,-0.6,5.81,23.8
A_ B_Total,-118.6726,35.0256,831,2014,363.99,10.4,17.1,23.9,0.3,6,25.24
A_ B_Total,-118.6726,35.0256,831,2015,269.55,10.4,16.9,23.4,1.7,5.09,23.99
A_ B_Total,-118.6726,35.0256,831,2016,334.28,10.1,16.6,23.2,1.4,5.36,24.33
A_ B_Total,-118.6726,35.0256,831,2017,314.03,10.5,16.8,23.2,1.7,5.5,23.91
,,,,,,,,,,,
A_ C_Open,-118.6738,35.0192,899,1997,324.34,8.2,15.1,22,2.3,3.63,21.2
A_ C_Open,-118.6738,35.0192,899,1998,796.97,8,14.1,20.2,2.9,3.45,18.12
A_ C_Open,-118.6738,35.0192,899,1999,269.94,8.4,15.2,22.1,0.3,4.64,22.39
A_ C_Open,-118.6738,35.0192,899,2000,287.97,8.8,15.7,22.5,1.5,4.22,22.73
A_ C_Open,-118.6738,35.0192,899,2001,420.11,9.3,16,22.6,2.5,4.81,23.68
A_ C_Open,-118.6738,35.0192,899,2002,220.25,9.1,15.9,22.7,0.9,5.12,23.95
A_ C_Open,-118.6738,35.0192,899,2003,425.86,9.5,15.8,22.2,1.8,5.07,22.75
A_ C_Open,-118.6738,35.0192,899,2004,335.47,9.3,15.5,21.7,0.9,5.35,22.24
A_ C_Open,-118.6738,35.0192,899,2005,553.95,9,15.1,21.3,2.1,4.19,20.3
A_ C_Open,-118.6738,35.0192,899,2006,275.29,9,15.4,21.9,0.7,4.99,22.4
A_ C_Open,-118.6738,35.0192,899,2007,218.01,9,15.4,21.7,-0.8,5.33,22.55
A_ C_Open,-118.6738,35.0192,899,2008,269.71,9.3,15.4,21.6,-0.7,5.95,22.87
A_ C_Open,-118.6738,35.0192,899,2009,217.45,9,15.4,21.8,0,5.43,22.6
A_ C_Open,-118.6738,35.0192,899,2010,734.79,8.3,14.5,20.6,1.6,4.21,19.91
A_ C_Open,-118.6738,35.0192,899,2011,422.3,8.1,14.4,20.8,0.7,4.2,20.49
A_ C_Open,-118.6738,35.0192,899,2012,294.1,9.4,16,22.5,-0.2,5.35,24.09
A_ C_Open,-118.6738,35.0192,899,2013,162.2,9.5,15.8,22.1,-0.9,5.84,23.22
A_ C_Open,-118.6738,35.0192,899,2014,371.36,10.3,16.9,23.4,0,6.02,24.65
A_ C_Open,-118.6738,35.0192,899,2015,269.42,10.3,16.6,23,1.5,5.08,23.38
A_ C_Open,-118.6738,35.0192,899,2016,330.66,10,16.3,22.7,1.2,5.3,23.62
A_ C_Open,-118.6738,35.0192,899,2017,315.9,10.4,16.6,22.8,1.4,5.47,23.33
,,,,,,,,,,,
A_ C_Partial,-118.6733,35.0203,887,1997,323.34,8.1,15.1,22.1,2.3,3.62,21.35
A_ C_Partial,-118.6733,35.0203,887,1998,793.65,8.1,14.2,20.3,3,3.46,18.24
A_ C_Partial,-118.6733,35.0203,887,1999,268.93,8.4,15.3,22.2,0.3,4.64,22.53
A_ C_Partial,-118.6733,35.0203,887,2000,286.96,8.9,15.7,22.5,1.6,4.22,22.86
A_ C_Partial,-118.6733,35.0203,887,2001,418.56,9.3,16,22.7,2.5,4.8,23.84
A_ C_Partial,-118.6733,35.0203,887,2002,219.57,9.1,15.9,22.7,1,5.12,24.09
A_ C_Partial,-118.6733,35.0203,887,2003,423.65,9.5,15.9,22.3,1.8,5.06,22.86
A_ C_Partial,-118.6733,35.0203,887,2004,334.18,9.3,15.6,21.8,0.9,5.36,22.33
A_ C_Partial,-118.6733,35.0203,887,2005,550.92,9.1,15.2,21.3,2.1,4.19,20.39
A_ C_Partial,-118.6733,35.0203,887,2006,274.66,9,15.5,21.9,0.8,4.99,22.49
A_ C_Partial,-118.6733,35.0203,887,2007,216.73,9,15.4,21.8,-0.8,5.33,22.65
A_ C_Partial,-118.6733,35.0203,887,2008,268.37,9.3,15.5,21.7,-0.7,5.95,22.99
A_ C_Partial,-118.6733,35.0203,887,2009,216.56,9,15.4,21.9,0,5.44,22.7
A_ C_Partial,-118.6733,35.0203,887,2010,732.3,8.4,14.5,20.7,1.7,4.21,20.01
A_ C_Partial,-118.6733,35.0203,887,2011,420.94,8.2,14.5,20.8,0.8,4.19,20.58
A_ C_Partial,-118.6733,35.0203,887,2012,292.94,9.4,16,22.6,-0.1,5.35,24.19
A_ C_Partial,-118.6733,35.0203,887,2013,161.46,9.5,15.9,22.2,-0.9,5.84,23.32
A_ C_Partial,-118.6733,35.0203,887,2014,369.92,10.3,16.9,23.5,0,6.01,24.76
A_ C_Partial,-118.6733,35.0203,887,2015,269.36,10.3,16.7,23,1.5,5.08,23.49
A_ C_Partial,-118.6733,35.0203,887,2016,331.23,10,16.4,22.8,1.2,5.31,23.75
A_ C_Partial,-118.6733,35.0203,887,2017,315.53,10.4,16.6,22.8,1.5,5.47,23.44
,,,,,,,,,,,
A_ C_Total,-118.6722,35.0204,889,1997,323.94,8.1,15.1,22.1,2.3,3.63,21.33
A_ C_Total,-118.6722,35.0204,889,1998,794.43,8.1,14.2,20.2,3,3.46,18.22
A_ C_Total,-118.6722,35.0204,889,1999,269.15,8.4,15.3,22.1,0.3,4.64,22.5
A_ C_Total,-118.6722,35.0204,889,2000,287.2,8.9,15.7,22.5,1.6,4.22,22.83
A_ C_Total,-118.6722,35.0204,889,2001,418.99,9.3,16,22.7,2.5,4.8,23.81
A_ C_Total,-118.6722,35.0204,889,2002,219.82,9.1,15.9,22.7,1,5.12,24.06
A_ C_Total,-118.6722,35.0204,889,2003,424.14,9.5,15.9,22.2,1.8,5.07,22.83
A_ C_Total,-118.6722,35.0204,889,2004,334.8,9.3,15.5,21.8,0.9,5.37,22.31
A_ C_Total,-118.6722,35.0204,889,2005,551.69,9.1,15.2,21.3,2.1,4.19,20.37
A_ C_Total,-118.6722,35.0204,889,2006,275.16,9,15.5,21.9,0.8,4.99,22.48
A_ C_Total,-118.6722,35.0204,889,2007,216.97,9,15.4,21.8,-0.8,5.33,22.63
A_ C_Total,-118.6722,35.0204,889,2008,268.8,9.3,15.5,21.7,-0.7,5.95,22.97
A_ C_Total,-118.6722,35.0204,889,2009,216.97,9,15.4,21.8,0,5.44,22.68
A_ C_Total,-118.6722,35.0204,889,2010,733.17,8.4,14.5,20.7,1.7,4.21,19.99
A_ C_Total,-118.6722,35.0204,889,2011,421.47,8.1,14.5,20.8,0.8,4.19,20.57
A_ C_Total,-118.6722,35.0204,889,2012,293.36,9.4,16,22.6,-0.1,5.35,24.17
A_ C_Total,-118.6722,35.0204,889,2013,161.63,9.5,15.8,22.2,-0.9,5.84,23.3
A_ C_Total,-118.6722,35.0204,889,2014,370.53,10.3,16.9,23.5,0,6.01,24.74
A_ C_Total,-118.6722,35.0204,889,2015,269.61,10.3,16.7,23,1.5,5.08,23.47
A_ C_Total,-118.6722,35.0204,889,2016,331.42,10,16.4,22.8,1.2,5.31,23.72
A_ C_Total,-118.6722,35.0204,889,2017,315.67,10.4,16.6,22.8,1.5,5.47,23.42
,,,,,,,,,,,
Int_ D_Open,-118.5931,34.9771,1579,1997,430.28,6.7,12.5,18.2,-0.5,3.65,16.35
Int_ D_Open,-118.5931,34.9771,1579,1998,873.35,5.4,11,16.5,0.1,2.96,14.09
Int_ D_Open,-118.5931,34.9771,1579,1999,304.68,6.3,12.4,18.5,-2.3,3.86,17.66
Int_ D_Open,-118.5931,34.9771,1579,2000,305.23,6.5,12.6,18.8,-1.1,3.54,17.86
Int_ D_Open,-118.5931,34.9771,1579,2001,470.89,6.8,12.7,18.7,-0.2,4.07,18.12
Int_ D_Open,-118.5931,34.9771,1579,2002,227.02,6.7,12.8,19,-2.1,4.44,18.79
Int_ D_Open,-118.5931,34.9771,1579,2003,443.89,7.1,13,18.9,-1,4.5,18.54
Int_ D_Open,-118.5931,34.9771,1579,2004,468.24,6.6,12.5,18.4,-1.6,4.33,18.05
Int_ D_Open,-118.5931,34.9771,1579,2005,787.18,6.4,12.2,18,-0.4,3.4,16.3
Int_ D_Open,-118.5931,34.9771,1579,2006,418.02,6.5,12.5,18.6,-1.7,4.08,18.14
Int_ D_Open,-118.5931,34.9771,1579,2007,228.38,6.6,12.6,18.6,-3.1,4.36,18.44
Int_ D_Open,-118.5931,34.9771,1579,2008,468.01,6.9,12.6,18.4,-3.2,5.03,18.42
Int_ D_Open,-118.5931,34.9771,1579,2009,296.68,6.5,12.5,18.5,-2.5,4.38,18.33
Int_ D_Open,-118.5931,34.9771,1579,2010,843.52,5.8,11.5,17.2,-1.2,3.67,16.22
Int_ D_Open,-118.5931,34.9771,1579,2011,454.91,5.8,11.7,17.5,-2.2,3.73,16.85
Int_ D_Open,-118.5931,34.9771,1579,2012,297.64,7,13.1,19.2,-2.6,4.19,19.82
Int_ D_Open,-118.5931,34.9771,1579,2013,163.39,7,12.9,18.9,-3.6,4.84,19.16
Int_ D_Open,-118.5931,34.9771,1579,2014,393.15,7.9,14,20.2,-2.8,4.94,20.34
Int_ D_Open,-118.5931,34.9771,1579,2015,264.45,7.5,13.6,19.7,-1.1,4.02,19.02
Int_ D_Open,-118.5931,34.9771,1579,2016,337.47,7.2,13.3,19.4,-1.7,4.3,19.18
Int_ D_Open,-118.5931,34.9771,1579,2017,318.26,7.7,13.6,19.6,-1.4,4.38,19.36
,,,,,,,,,,,
Int_ D_Parti,-118.5954,34.9786,1556,1997,426.57,6.8,12.5,18.3,-0.5,3.65,16.39
Int_ D_Parti,-118.5954,34.9786,1556,1998,869.56,5.5,11,16.6,0.1,2.96,14.12
Int_ D_Parti,-118.5954,34.9786,1556,1999,302.23,6.4,12.4,18.5,-2.3,3.87,17.72
Int_ D_Parti,-118.5954,34.9786,1556,2000,304.38,6.5,12.7,18.9,-1.1,3.55,17.93
Int_ D_Parti,-118.5954,34.9786,1556,2001,466.56,6.8,12.8,18.8,-0.2,4.07,18.17
Int_ D_Parti,-118.5954,34.9786,1556,2002,227.55,6.7,12.9,19,-2.1,4.45,18.82
Int_ D_Parti,-118.5954,34.9786,1556,2003,443.21,7.2,13.1,18.9,-1,4.5,18.59
Int_ D_Parti,-118.5954,34.9786,1556,2004,462.53,6.7,12.6,18.5,-1.5,4.36,18.1
Int_ D_Parti,-118.5954,34.9786,1556,2005,779,6.4,12.2,18,-0.4,3.41,16.37
Int_ D_Parti,-118.5954,34.9786,1556,2006,409.86,6.5,12.6,18.6,-1.7,4.09,18.21
Int_ D_Parti,-118.5954,34.9786,1556,2007,227.88,6.6,12.6,18.6,-3.1,4.36,18.47
Int_ D_Parti,-118.5954,34.9786,1556,2008,457.75,6.9,12.6,18.4,-3.2,5.04,18.46
Int_ D_Parti,-118.5954,34.9786,1556,2009,292.44,6.5,12.5,18.5,-2.5,4.39,18.39
Int_ D_Parti,-118.5954,34.9786,1556,2010,836.77,5.8,11.5,17.3,-1.2,3.66,16.25
Int_ D_Parti,-118.5954,34.9786,1556,2011,453.38,5.8,11.7,17.6,-2.2,3.73,16.88
Int_ D_Parti,-118.5954,34.9786,1556,2012,297.8,7,13.2,19.3,-2.6,4.2,19.87
Int_ D_Parti,-118.5954,34.9786,1556,2013,163.27,7,13,18.9,-3.6,4.84,19.17
Int_ D_Parti,-118.5954,34.9786,1556,2014,392.56,7.9,14,20.2,-2.8,4.94,20.38
Int_ D_Parti,-118.5954,34.9786,1556,2015,264.36,7.6,13.7,19.8,-1.1,4.03,19.07
Int_ D_Parti,-118.5954,34.9786,1556,2016,336.76,7.2,13.3,19.4,-1.7,4.28,19.2
Int_ D_Parti,-118.5954,34.9786,1556,2017,318.77,7.7,13.7,19.6,-1.4,4.37,19.4
,,,,,,,,,,,
Int_ D_Total,-118.5944,34.9784,1560,1997,427.25,6.8,12.5,18.3,-0.5,3.65,16.38
Int_ D_Total,-118.5944,34.9784,1560,1998,869.99,5.5,11,16.6,0.1,2.96,14.12
Int_ D_Total,-118.5944,34.9784,1560,1999,302.59,6.4,12.4,18.5,-2.3,3.87,17.71
Int_ D_Total,-118.5944,34.9784,1560,2000,304.54,6.5,12.7,18.9,-1.1,3.55,17.92
Int_ D_Total,-118.5944,34.9784,1560,2001,467.16,6.8,12.8,18.7,-0.2,4.07,18.17
Int_ D_Total,-118.5944,34.9784,1560,2002,227.39,6.7,12.9,19,-2.1,4.45,18.82
Int_ D_Total,-118.5944,34.9784,1560,2003,443.06,7.2,13,18.9,-1,4.5,18.58
Int_ D_Total,-118.5944,34.9784,1560,2004,463.6,6.7,12.6,18.5,-1.5,4.35,18.1
Int_ D_Total,-118.5944,34.9784,1560,2005,780.63,6.4,12.2,18,-0.4,3.41,16.36
Int_ D_Total,-118.5944,34.9784,1560,2006,411.41,6.5,12.5,18.6,-1.7,4.09,18.2
Int_ D_Total,-118.5944,34.9784,1560,2007,227.82,6.6,12.6,18.6,-3.1,4.36,18.47
Int_ D_Total,-118.5944,34.9784,1560,2008,459.85,6.9,12.6,18.4,-3.2,5.03,18.46
Int_ D_Total,-118.5944,34.9784,1560,2009,293.21,6.5,12.5,18.5,-2.5,4.39,18.39
Int_ D_Total,-118.5944,34.9784,1560,2010,837.67,5.8,11.5,17.3,-1.2,3.66,16.25
Int_ D_Total,-118.5944,34.9784,1560,2011,453.4,5.8,11.7,17.6,-2.2,3.73,16.88
Int_ D_Total,-118.5944,34.9784,1560,2012,297.59,7,13.2,19.3,-2.6,4.2,19.86
Int_ D_Total,-118.5944,34.9784,1560,2013,163.13,7,13,18.9,-3.6,4.84,19.18
Int_ D_Total,-118.5944,34.9784,1560,2014,392.5,7.9,14,20.2,-2.8,4.94,20.38
Int_ D_Total,-118.5944,34.9784,1560,2015,264.3,7.6,13.7,19.8,-1.1,4.03,19.07
Int_ D_Total,-118.5944,34.9784,1560,2016,336.9,7.2,13.3,19.4,-1.7,4.29,19.2
Int_ D_Total,-118.5944,34.9784,1560,2017,318.67,7.7,13.7,19.6,-1.4,4.37,19.4
,,,,,,,,,,,
Int_ E_Open,-118.5884,34.9757,1609,1997,434.94,6.7,12.4,18.2,-0.6,3.65,16.31
Int_ E_Open,-118.5884,34.9757,1609,1998,878.45,5.4,10.9,16.5,0.1,2.95,14.05
Int_ E_Open,-118.5884,34.9757,1609,1999,307.87,6.3,12.4,18.4,-2.3,3.84,17.6
Int_ E_Open,-118.5884,34.9757,1609,2000,306.64,6.4,12.6,18.8,-1.2,3.52,17.78
Int_ E_Open,-118.5884,34.9757,1609,2001,476.43,6.7,12.7,18.6,-0.3,4.06,18.06
