PRISM Time Series Data,,,,,,,,,,,
Locations: 27,,,,,,,,,,,
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax",,,,,,,,,,,
A_ A_Partial,-118.6774,35.0252,895,December,49.29,2.1,7.2,12.3,-4,2.1,10.18
A_ A_Partial,-118.6774,35.0252,895,Annual,374.12,9.3,15.7,22,2.1,5.3,22.3
A_ A_Total,-118.6773,35.0244,900,January,61.36,2.2,7.3,12.5,-2.9,1.88,9.61
A_ A_Total,-118.6773,35.0244,900,February,66.09,3.1,8.4,13.7,-1.3,1.86,10.26
A_ A_Total,-118.6773,35.0244,900,March,71.26,5.1,10.7,16.4,0.7,2.35,12.76
A_ A_Total,-118.6773,35.0244,900,April,35.95,6.6,12.9,19.2,2,3.32,16.58
A_ A_Total,-118.6773,35.0244,900,May,14.24,10.6,17.6,24.6,4.5,4.82,22.5
A_ A_Total,-118.6773,35.0244,900,June,3.76,14.4,21.9,29.3,6,7.9,32.21
A_ A_Total,-118.6773,35.0244,900,July,1.87,18.5,25.8,33.2,7.1,11.95,41.06
A_ A_Total,-118.6773,35.0244,900,August,2.78,17.8,25.3,32.7,6.4,10.22,40.2
A_ A_Total,-118.6773,35.0244,900,September,5.29,15.5,22.5,29.5,5.5,9.04,32.97
A_ A_Total,-118.6773,35.0244,900,October,17.76,10.6,17.3,23.9,2.4,5.4,24.44
A_ A_Total,-118.6773,35.0244,900,November,47.1,5.6,11.1,16.6,-1.3,2.98,14.1
A_ A_Total,-118.6773,35.0244,900,December,49.66,2.1,7.2,12.3,-4,2.11,10.16
A_ A_Total,-118.6773,35.0244,900,Annual,377.12,9.3,15.7,22,2.1,5.32,22.24
A_ B_Open,-118.674,35.0249,908,January,61.08,2.2,7.3,12.4,-2.9,1.87,9.55
A_ B_Open,-118.674,35.0249,908,February,66.47,3,8.3,13.7,-1.3,1.85,10.18
A_ B_Open,-118.674,35.0249,908,March,71.62,5,10.7,16.3,0.7,2.36,12.69
A_ B_Open,-118.674,35.0249,908,April,36.51,6.6,12.8,19.1,2,3.32,16.47
A_ B_Open,-118.674,35.0249,908,May,14.31,10.5,17.5,24.5,4.5,4.83,22.4
A_ B_Open,-118.674,35.0249,908,June,3.73,14.4,21.8,29.2,6,7.89,32.08
A_ B_Open,-118.674,35.0249,908,July,1.89,18.6,25.9,33.1,7.1,12.04,40.86
A_ B_Open,-118.674,35.0249,908,August,2.84,17.8,25.2,32.7,6.4,10.28,40.02
A_ B_Open,-118.674,35.0249,908,September,5.21,15.4,22.4,29.5,5.5,9.06,32.84
A_ B_Open,-118.674,35.0249,908,October,17.97,10.6,17.2,23.9,2.4,5.4,24.34
A_ B_Open,-118.674,35.0249,908,November,46.94,5.6,11.1,16.5,-1.3,2.98,14.03
A_ B_Open,-118.674,35.0249,908,December,50.82,2.1,7.2,12.2,-4,2.11,10.11
A_ B_Open,-118.674,35.0249,908,Annual,379.39,9.3,15.6,21.9,2.1,5.33,22.13
A_ B_Partial,-118.672,35.0264,917,January,60.77,2.2,7.3,12.4,-2.9,1.92,9.52
A_ B_Partial,-118.672,35.0264,917,February,66.5,3,8.3,13.6,-1.3,1.85,10.12
A_ B_Partial,-118.672,35.0264,917,March,71.61,5,10.6,16.2,0.6,2.35,12.61
A_ B_Partial,-118.672,35.0264,917,April,36.38,6.5,12.8,19,1.9,3.29,16.37
A_ B_Partial,-118.672,35.0264,917,May,14.33,10.5,17.5,24.5,4.4,4.79,22.38
A_ B_Partial,-118.672,35.0264,917,June,3.68,14.4,21.8,29.2,6,8.07,32.03
A_ B_Partial,-118.672,35.0264,917,July,1.89,18.5,25.8,33.1,7.1,11.96,40.66
A_ B_Partial,-118.672,35.0264,917,August,2.92,17.7,25.2,32.6,6.4,10.19,39.92
A_ B_Partial,-118.672,35.0264,917,September,5.15,15.4,22.4,29.4,5.4,8.86,32.74
A_ B_Partial,-118.672,35.0264,917,October,17.89,10.5,17.2,23.8,2.3,5.37,24.23
A_ B_Partial,-118.672,35.0264,917,November,46.76,5.6,11,16.5,-1.3,2.96,13.96
A_ B_Partial,-118.672,35.0264,917,December,50.93,2.1,7.2,12.2,-4,2.11,10.04
A_ B_Partial,-118.672,35.0264,917,Annual,378.82,9.3,15.6,21.9,2.1,5.31,22.05
A_ B_Total,-118.6726,35.0256,913,January,60.92,2.2,7.3,12.4,-2.9,1.9,9.54
A_ B_Total,-118.6726,35.0256,913,February,66.46,3,8.3,13.6,-1.3,1.85,10.15
A_ B_Total,-118.6726,35.0256,913,March,71.59,5,10.6,16.3,0.7,2.35,12.65
A_ B_Total,-118.6726,35.0256,913,April,36.41,6.5,12.8,19.1,2,3.3,16.42
A_ B_Total,-118.6726,35.0256,913,May,14.32,10.5,17.5,24.5,4.4,4.81,22.39
A_ B_Total,-118.6726,35.0256,913,June,3.7,14.4,21.8,29.2,6,7.99,32.06
A_ B_Total,-118.6726,35.0256,913,July,1.89,18.6,25.8,33.1,7.1,12,40.76
A_ B_Total,-118.6726,35.0256,913,August,2.88,17.8,25.2,32.7,6.4,10.23,39.97
A_ B_Total,-118.6726,35.0256,913,September,5.17,15.4,22.4,29.4,5.4,8.95,32.79
A_ B_Total,-118.6726,35.0256,913,October,17.92,10.6,17.2,23.8,2.3,5.38,24.29
A_ B_Total,-118.6726,35.0256,913,November,46.84,5.6,11.1,16.5,-1.3,2.97,14
A_ B_Total,-118.6726,35.0256,913,December,50.85,2.1,7.2,12.2,-4,2.11,10.07
A_ B_Total,-118.6726,35.0256,913,Annual,378.93,9.3,15.6,21.9,2.1,5.32,22.09
A_ C_Open,-118.6738,35.0192,926,January,60.35,2.2,7.3,12.4,-3,1.99,9.52
A_ C_Open,-118.6738,35.0192,926,February,69,3,8.2,13.5,-1.4,1.86,10.07
A_ C_Open,-118.6738,35.0192,926,March,72.96,5,10.6,16.2,0.6,2.36,12.56
A_ C_Open,-118.6738,35.0192,926,April,38.38,6.5,12.7,19,1.9,3.31,16.36
A_ C_Open,-118.6738,35.0192,926,May,14.88,10.4,17.4,24.4,4.3,4.91,22.24
A_ C_Open,-118.6738,35.0192,926,June,3.72,14.3,21.7,29.1,5.9,8.17,31.91
A_ C_Open,-118.6738,35.0192,926,July,2.05,18.4,25.7,33,6.9,11.93,40.59
A_ C_Open,-118.6738,35.0192,926,August,3.36,17.7,25.1,32.6,6.3,10.28,39.81
A_ C_Open,-118.6738,35.0192,926,September,5.67,15.3,22.3,29.3,5.3,9.01,32.69
A_ C_Open,-118.6738,35.0192,926,October,18.68,10.5,17.1,23.7,2.2,5.4,24.18
A_ C_Open,-118.6738,35.0192,926,November,47.95,5.6,11,16.4,-1.4,3,13.92
A_ C_Open,-118.6738,35.0192,926,December,53.1,2.1,7.1,12.2,-4.1,2.14,10.05
A_ C_Open,-118.6738,35.0192,926,Annual,390.11,9.2,15.5,21.8,2,5.37,21.99
A_ C_Partial,-118.6733,35.0203,937,January,60.49,2.2,7.2,12.3,-3,1.99,9.46
A_ C_Partial,-118.6733,35.0203,937,February,68.77,2.9,8.2,13.4,-1.5,1.87,9.98
A_ C_Partial,-118.6733,35.0203,937,March,72.9,4.9,10.5,16.1,0.6,2.37,12.46
A_ C_Partial,-118.6733,35.0203,937,April,38.17,6.4,12.7,18.9,1.8,3.3,16.19
A_ C_Partial,-118.6733,35.0203,937,May,14.83,10.4,17.4,24.3,4.3,4.87,22.12
A_ C_Partial,-118.6733,35.0203,937,June,3.7,14.3,21.7,29,5.9,8.16,31.75
A_ C_Partial,-118.6733,35.0203,937,July,2.05,18.4,25.7,32.9,7,11.88,40.35
A_ C_Partial,-118.6733,35.0203,937,August,3.34,17.6,25.1,32.5,6.2,10.26,39.62
A_ C_Partial,-118.6733,35.0203,937,September,5.53,15.3,22.3,29.3,5.3,8.96,32.52
A_ C_Partial,-118.6733,35.0203,937,October,18.6,10.5,17.1,23.7,2.2,5.38,24.04
A_ C_Partial,-118.6733,35.0203,937,November,47.58,5.6,11,16.4,-1.4,3,13.85
A_ C_Partial,-118.6733,35.0203,937,December,53.01,2.1,7.1,12.1,-4.1,2.14,9.99
A_ C_Partial,-118.6733,35.0203,937,Annual,388.96,9.2,15.5,21.7,1.9,5.35,21.86
A_ C_Total,-118.6722,35.0204,947,January,60.49,2.2,7.2,12.3,-3,2,9.42
A_ C_Total,-118.6722,35.0204,947,February,68.96,2.9,8.1,13.3,-1.5,1.87,9.89
A_ C_Total,-118.6722,35.0204,947,March,73.04,4.9,10.5,16,0.5,2.38,12.37
A_ C_Total,-118.6722,35.0204,947,April,38.28,6.4,12.6,18.8,1.8,3.29,16.06
A_ C_Total,-118.6722,35.0204,947,May,14.87,10.3,17.3,24.2,4.3,4.85,22.01
A_ C_Total,-118.6722,35.0204,947,June,3.69,14.2,21.6,29,5.9,8.19,31.61
A_ C_Total,-118.6722,35.0204,947,July,2.07,18.3,25.6,32.9,6.9,11.83,40.14
A_ C_Total,-118.6722,35.0204,947,August,3.4,17.6,25,32.4,6.2,10.24,39.45
A_ C_Total,-118.6722,35.0204,947,September,5.49,15.2,22.2,29.2,5.3,8.92,32.39
A_ C_Total,-118.6722,35.0204,947,October,18.65,10.4,17,23.6,2.1,5.37,23.92
A_ C_Total,-118.6722,35.0204,947,November,47.45,5.5,10.9,16.3,-1.4,3,13.78
A_ C_Total,-118.6722,35.0204,947,December,53.27,2.1,7.1,12.1,-4.1,2.15,9.95
A_ C_Total,-118.6722,35.0204,947,Annual,389.66,9.2,15.4,21.7,1.9,5.34,21.75
Int_ D_Open,-118.5931,34.9771,1673,January,108.22,0.3,5,9.8,-4.9,1.97,8.01
Int_ D_Open,-118.5931,34.9771,1673,February,87.22,-0.2,4.7,9.6,-3.6,1.48,7.36
Int_ D_Open,-118.5931,34.9771,1673,March,70.35,2,6.8,11.6,-2,2.13,9.2
Int_ D_Open,-118.5931,34.9771,1673,April,32.63,3.4,9.2,15.1,-0.2,2.37,12.55
Int_ D_Open,-118.5931,34.9771,1673,May,13.78,7.1,14,20.8,2,3.61,18.01
Int_ D_Open,-118.5931,34.9771,1673,June,3.86,11,18.3,25.6,3.8,5.72,26.09
Int_ D_Open,-118.5931,34.9771,1673,July,3.11,15.2,22.4,29.6,5.4,8.6,32.59
Int_ D_Open,-118.5931,34.9771,1673,August,4.78,14.2,21.6,29,3.4,8.54,32.65
Int_ D_Open,-118.5931,34.9771,1673,September,5.33,12,18.8,25.7,1.7,6.81,27.57
Int_ D_Open,-118.5931,34.9771,1673,October,15.84,7.4,13.7,20,-0.8,4.34,19.24
Int_ D_Open,-118.5931,34.9771,1673,November,44.38,3.3,8.4,13.5,-3.5,2.72,11.41
Int_ D_Open,-118.5931,34.9771,1673,December,89.28,0.5,5.1,9.6,-5.9,1.96,8.18
Int_ D_Open,-118.5931,34.9771,1673,Annual,478.77,6.4,12.3,18.3,-0.4,4.19,17.74
Int_ D_Parti,-118.5954,34.9786,1726,January,105.84,-0.1,4.7,9.5,-5.1,1.96,7.89
Int_ D_Parti,-118.5954,34.9786,1726,February,84.63,-0.5,4.5,9.5,-3.8,1.41,7.34
Int_ D_Parti,-118.5954,34.9786,1726,March,70.94,1.6,6.5,11.4,-2.2,2,9.06
Int_ D_Parti,-118.5954,34.9786,1726,April,33.12,3.1,8.9,14.7,-0.4,2.17,12.18
Int_ D_Parti,-118.5954,34.9786,1726,May,13.89,6.8,13.6,20.4,1.9,3.36,17.54
Int_ D_Parti,-118.5954,34.9786,1726,June,3.9,10.9,18.1,25.3,3.6,5.5,25.42
Int_ D_Parti,-118.5954,34.9786,1726,July,3.02,15.1,22.2,29.3,5.4,8.77,31.85
Int_ D_Parti,-118.5954,34.9786,1726,August,4.84,14.1,21.4,28.7,3.4,8.76,31.66
Int_ D_Parti,-118.5954,34.9786,1726,September,5.37,11.9,18.6,25.3,1.7,6.74,26.73
Int_ D_Parti,-118.5954,34.9786,1726,October,15.93,7.1,13.3,19.6,-1,4.18,18.79
Int_ D_Parti,-118.5954,34.9786,1726,November,44.28,3,8.1,13.2,-3.7,2.72,11.23
Int_ D_Parti,-118.5954,34.9786,1726,December,87.37,0.3,4.8,9.4,-6,1.93,8.06
Int_ D_Parti,-118.5954,34.9786,1726,Annual,473.12,6.1,12.1,18,-0.5,4.12,17.31
Int_ D_Total,-118.5944,34.9784,1715,January,106.07,0,4.8,9.6,-5.1,1.96,7.9
Int_ D_Total,-118.5944,34.9784,1715,February,84.97,-0.5,4.5,9.5,-3.8,1.42,7.34
Int_ D_Total,-118.5944,34.9784,1715,March,70.76,1.7,6.6,11.5,-2.1,2.02,9.09
Int_ D_Total,-118.5944,34.9784,1715,April,33.02,3.1,9,14.8,-0.3,2.21,12.27
Int_ D_Total,-118.5944,34.9784,1715,May,13.85,6.9,13.7,20.5,1.9,3.41,17.65
Int_ D_Total,-118.5944,34.9784,1715,June,3.89,10.9,18.1,25.4,3.7,5.54,25.59
Int_ D_Total,-118.5944,34.9784,1715,July,3.03,15.1,22.2,29.4,5.4,8.73,32.03
Int_ D_Total,-118.5944,34.9784,1715,August,4.83,14.1,21.4,28.8,3.4,8.69,31.9
Int_ D_Total,-118.5944,34.9784,1715,September,5.36,11.9,18.6,25.4,1.7,6.76,26.93
Int_ D_Total,-118.5944,34.9784,1715,October,15.9,7.1,13.4,19.6,-1,4.21,18.89
Int_ D_Total,-118.5944,34.9784,1715,November,44.22,3.1,8.2,13.3,-3.7,2.72,11.26
Int_ D_Total,-118.5944,34.9784,1715,December,87.56,0.3,4.9,9.4,-6,1.94,8.09
Int_ D_Total,-118.5944,34.9784,1715,Annual,473.44,6.1,12.1,18.1,-0.5,4.13,17.41
Int_ E_Open,-118.5884,34.9757,1646,January,107.47,0.5,5.2,10,-4.8,2,8.08
Int_ E_Open,-118.5884,34.9757,1646,February,87.51,0,4.9,9.7,-3.5,1.53,7.43
Int_ E_Open,-118.5884,34.9757,1646,March,69.54,2.2,7,11.8,-1.8,2.19,9.31
Int_ E_Open,-118.5884,34.9757,1646,April,32.11,3.5,9.4,15.4,-0.1,2.46,12.78
Int_ E_Open,-118.5884,34.9757,1646,May,13.67,7.3,14.2,21,2.1,3.72,18.34
Int_ E_Open,-118.5884,34.9757,1646,June,3.81,11.2,18.5,25.9,3.9,5.88,26.56
Int_ E_Open,-118.5884,34.9757,1646,July,3.06,15.3,22.6,29.8,5.4,8.63,33.12
Int_ E_Open,-118.5884,34.9757,1646,August,4.71,14.3,21.8,29.3,3.4,8.49,33.32
Int_ E_Open,-118.5884,34.9757,1646,September,5.24,12.1,19,25.9,1.8,6.94,28.12
Int_ E_Open,-118.5884,34.9757,1646,October,15.78,7.6,13.9,20.2,-0.7,4.47,19.57
Int_ E_Open,-118.5884,34.9757,1646,November,43.45,3.5,8.6,13.6,-3.4,2.78,11.54
Int_ E_Open,-118.5884,34.9757,1646,December,87.92,0.7,5.2,9.7,-5.8,2.02,8.29
Int_ E_Open,-118.5884,34.9757,1646,Annual,474.25,6.5,12.5,18.5,-0.3,4.26,18.04
Int_ E_Parti,-118.5872,34.9767,1648,January,106.08,0.5,5.2,10,-4.8,2.02,8.08
Int_ E_Parti,-118.5872,34.9767,1648,February,86.75,0,4.9,9.7,-3.5,1.53,7.45
Int_ E_Parti,-118.5872,34.9767,1648,March,69.21,2.2,7,11.8,-1.8,2.17,9.33
Int_ E_Parti,-118.5872,34.9767,1648,April,31.93,3.5,9.5,15.4,-0.1,2.44,12.79
Int_ E_Parti,-118.5872,34.9767,1648,May,13.63,7.3,14.2,21,2.2,3.7,18.38
Int_ E_Parti,-118.5872,34.9767,1648,June,3.78,11.2,18.6,25.9,3.9,5.89,26.62
Int_ E_Parti,-118.5872,34.9767,1648,July,2.99,15.4,22.6,29.9,5.4,8.71,33.19
Int_ E_Parti,-118.5872,34.9767,1648,August,4.67,14.4,21.8,29.3,3.5,8.55,33.39
Int_ E_Parti,-118.5872,34.9767,1648,September,5.2,12.2,19.1,26,1.8,6.98,28.18
Int_ E_Parti,-118.5872,34.9767,1648,October,15.76,7.6,13.9,20.2,-0.7,4.48,19.62
Int_ E_Parti,-118.5872,34.9767,1648,November,42.77,3.5,8.6,13.6,-3.4,2.81,11.56
Int_ E_Parti,-118.5872,34.9767,1648,December,86.3,0.7,5.2,9.7,-5.8,2.04,8.31
Int_ E_Parti,-118.5872,34.9767,1648,Annual,469.08,6.5,12.5,18.5,-0.3,4.27,18.08
Int_ E_Total,-118.5883,34.9767,1652,January,106.59,0.5,5.2,9.9,-4.8,2,8.06
Int_ E_Total,-118.5883,34.9767,1652,February,86.84,-0.1,4.8,9.7,-3.6,1.52,7.42
Int_ E_Total,-118.5883,34.9767,1652,March,69.47,2.2,7,11.7,-1.9,2.17,9.3
Int_ E_Total,-118.5883,34.9767,1652,April,32.12,3.5,9.4,15.3,-0.1,2.43,12.76
Int_ E_Total,-118.5883,34.9767,1652,May,13.66,7.3,14.1,21,2.1,3.69,18.3
Int_ E_Total,-118.5883,34.9767,1652,June,3.81,11.2,18.5,25.9,3.9,5.85,26.53
Int_ E_Total,-118.5883,34.9767,1652,July,3.03,15.3,22.6,29.8,5.4,8.66,33.08
Int_ E_Total,-118.5883,34.9767,1652,August,4.71,14.3,21.8,29.3,3.4,8.51,33.26
Int_ E_Total,-118.5883,34.9767,1652,September,5.23,12.1,19,25.9,1.8,6.95,28.06
Int_ E_Total,-118.5883,34.9767,1652,October,15.75,7.5,13.9,20.2,-0.7,4.45,19.54
Int_ E_Total,-118.5883,34.9767,1652,November,43.26,3.5,8.5,13.6,-3.5,2.79,11.52
Int_ E_Total,-118.5883,34.9767,1652,December,87.18,0.6,5.2,9.7,-5.8,2.02,8.27
Int_ E_Total,-118.5883,34.9767,1652,Annual,471.65,6.5,12.5,18.5,-0.3,4.25,18.01
Int_ F_Open,-118.5835,34.9769,1623,January,106.43,0.7,5.4,10.1,-4.7,2.06,8.19
Int_ F_Open,-118.5835,34.9769,1623,February,87.79,0.2,5,9.9,-3.4,1.56,7.55
Int_ F_Open,-118.5835,34.9769,1623,March,68.68,2.4,7.2,11.9,-1.7,2.21,9.42
Int_ F_Open,-118.5835,34.9769,1623,April,31.44,3.7,9.7,15.6,0.1,2.52,12.91
Int_ F_Open,-118.5835,34.9769,1623,May,13.53,7.5,14.4,21.2,2.3,3.78,18.64
Int_ F_Open,-118.5835,34.9769,1623,June,3.72,11.4,18.7,26.1,4.1,6.06,26.91
Int_ F_Open,-118.5835,34.9769,1623,July,2.96,15.5,22.8,30,5.5,8.78,33.56
Int_ F_Open,-118.5835,34.9769,1623,August,4.59,14.5,22,29.5,3.5,8.59,33.82
Int_ F_Open,-118.5835,34.9769,1623,September,5.12,12.3,19.2,26.1,1.9,7.06,28.56
Int_ F_Open,-118.5835,34.9769,1623,October,15.84,7.8,14.1,20.4,-0.6,4.57,19.85
Int_ F_Open,-118.5835,34.9769,1623,November,41.87,3.7,8.8,13.8,-3.3,2.81,11.7
Int_ F_Open,-118.5835,34.9769,1623,December,85.42,0.9,5.4,9.9,-5.8,2.09,8.44
Int_ F_Open,-118.5835,34.9769,1623,Annual,467.39,6.7,12.7,18.7,-0.2,4.34,18.3
Int_ F_Parti,-118.5836,34.9789,1666,January,102.65,0.4,5.1,9.9,-4.9,2.04,8.01
Int_ F_Parti,-118.5836,34.9789,1666,February,84.36,-0.1,4.7,9.6,-3.6,1.53,7.42
Int_ F_Parti,-118.5836,34.9789,1666,March,68.76,2.1,6.9,11.7,-1.9,2.14,9.27
Int_ F_Parti,-118.5836,34.9789,1666,April,31.87,3.4,9.4,15.4,-0.2,2.35,12.8
Int_ F_Parti,-118.5836,34.9789,1666,May,13.66,7.2,14.1,21,2.1,3.62,18.31
Int_ F_Parti,-118.5836,34.9789,1666,June,3.78,11.1,18.5,25.9,3.9,5.79,26.61
Int_ F_Parti,-118.5836,34.9789,1666,July,2.86,15.2,22.5,29.8,5.4,8.8,33.12
Int_ F_Parti,-118.5836,34.9789,1666,August,4.67,14.3,21.8,29.3,3.4,8.64,33.37
Int_ F_Parti,-118.5836,34.9789,1666,September,5.17,12.1,19,25.9,1.8,7.03,28.11
Int_ F_Parti,-118.5836,34.9789,1666,October,15.56,7.5,13.8,20.2,-0.7,4.46,19.61
Int_ F_Parti,-118.5836,34.9789,1666,November,42.2,3.4,8.5,13.5,-3.5,2.88,11.51
Int_ F_Parti,-118.5836,34.9789,1666,December,83.67,0.6,5.1,9.6,-5.9,2.04,8.26
Int_ F_Parti,-118.5836,34.9789,1666,Annual,459.2,6.4,12.5,18.5,-0.4,4.28,18.03
Int_ F_Total,-118.5836,34.978,1645,January,104.63,0.6,5.3,10,-4.8,2.05,8.1
Int_ F_Total,-118.5836,34.978,1645,February,86.1,0,4.9,9.8,-3.5,1.54,7.48
Int_ F_Total,-118.5836,34.978,1645,March,68.76,2.2,7,11.8,-1.8,2.17,9.34
Int_ F_Total,-118.5836,34.978,1645,April,31.68,3.6,9.5,15.5,-0.1,2.43,12.84
Int_ F_Total,-118.5836,34.978,1645,May,13.6,7.3,14.2,21.1,2.2,3.7,18.46
Int_ F_Total,-118.5836,34.978,1645,June,3.75,11.2,18.6,26,3.9,5.92,26.74
Int_ F_Total,-118.5836,34.978,1645,July,2.91,15.4,22.7,29.9,5.5,8.78,33.32
Int_ F_Total,-118.5836,34.978,1645,August,4.63,14.4,21.9,29.4,3.5,8.61,33.57
Int_ F_Total,-118.5836,34.978,1645,September,5.15,12.2,19.1,26,1.8,7.04,28.32
Int_ F_Total,-118.5836,34.978,1645,October,15.71,7.6,14,20.3,-0.7,4.51,19.72
Int_ F_Total,-118.5836,34.978,1645,November,42.09,3.6,8.6,13.7,-3.4,2.84,11.6
Int_ F_Total,-118.5836,34.978,1645,December,84.66,0.7,5.2,9.8,-5.9,2.06,8.35
Int_ F_Total,-118.5836,34.978,1645,Annual,463.68,6.6,12.6,18.6,-0.3,4.3,18.15
M_ G_Open,-118.583,34.972,1632,January,107.07,0.7,5.4,10.1,-4.8,2.09,8.13
M_ G_Open,-118.583,34.972,1632,February,90.62,0.1,5,9.8,-3.5,1.54,7.49
M_ G_Open,-118.583,34.972,1632,March,68.74,2.4,7.1,11.9,-1.7,2.18,9.37
M_ G_Open,-118.583,34.972,1632,April,30.68,3.7,9.6,15.5,0,2.5,12.8
M_ G_Open,-118.583,34.972,1632,May,13.23,7.5,14.3,21.1,2.3,3.73,18.48
M_ G_Open,-118.583,34.972,1632,June,3.62,11.3,18.6,25.9,4,6.03,26.61
M_ G_Open,-118.583,34.972,1632,July,2.95,15.4,22.7,29.9,5.5,8.8,33.2
M_ G_Open,-118.583,34.972,1632,August,4.47,14.4,21.9,29.4,3.5,8.71,33.52
M_ G_Open,-118.583,34.972,1632,September,5.13,12.2,19.1,26,1.8,6.93,28.32
M_ G_Open,-118.583,34.972,1632,October,16.23,7.7,14,20.3,-0.6,4.48,19.68
M_ G_Open,-118.583,34.972,1632,November,41.42,3.7,8.7,13.8,-3.4,2.73,11.63
M_ G_Open,-118.583,34.972,1632,December,85.65,0.8,5.3,9.8,-5.8,2.04,8.37
M_ G_Open,-118.583,34.972,1632,Annual,469.81,6.7,12.6,18.6,-0.2,4.31,18.13
M_ G_Partial,-118.5833,34.971,1650,January,107.13,0.5,5.2,9.9,-4.9,2.09,8.02
M_ G_Partial,-118.5833,34.971,1650,February,91.54,0,4.8,9.7,-3.6,1.52,7.41
M_ G_Partial,-118.5833,34.971,1650,March,69.05,2.2,7,11.7,-1.8,2.14,9.27
M_ G_Partial,-118.5833,34.971,1650,April,30.49,3.5,9.4,15.3,-0.2,2.45,12.67
M_ G_Partial,-118.5833,34.971,1650,May,13.13,7.3,14.1,20.9,2.2,3.65,18.27
M_ G_Partial,-118.5833,34.971,1650,June,3.6,11.1,18.5,25.8,3.9,5.9,26.29
M_ G_Partial,-118.5833,34.971,1650,July,2.94,15.3,22.5,29.7,5.4,8.81,32.8
M_ G_Partial,-118.5833,34.971,1650,August,4.44,14.3,21.7,29.2,3.4,8.71,33.13
M_ G_Partial,-118.5833,34.971,1650,September,5.14,12,19,25.9,1.7,6.81,28
M_ G_Partial,-118.5833,34.971,1650,October,16.42,7.6,13.9,20.2,-0.7,4.38,19.46
M_ G_Partial,-118.5833,34.971,1650,November,41.42,3.5,8.6,13.6,-3.5,2.68,11.51
M_ G_Partial,-118.5833,34.971,1650,December,85.88,0.6,5.2,9.7,-5.9,1.99,8.26
M_ G_Partial,-118.5833,34.971,1650,Annual,471.19,6.5,12.5,18.5,-0.3,4.26,17.93
